,mutant_ID,HMR1_v,HMR2_v,HMR3_v,GMR1_v_sca,GMR1_v_g,GMR1_v_e,GMR5_v_ref,HMR1_nv,HMR2_nv,HMR3_nv,GMR1_nv_sca,GMR1_nv_g,GMR1_nv_e,GMR5_nv_ref
0,Num84Line13Vers2,0,0,80,2,1,1,2,195,195,115,193,194,194,193
1,Num232Line16Vers38,0,0,80,2,1,1,2,195,195,115,193,194,194,193
2,Num1230Line139Vers15,0,0,80,2,1,1,2,195,195,115,193,194,194,193
3,Num117Line13Vers35,0,0,80,2,1,1,2,195,195,115,193,194,194,193
4,Num161Line15Vers5,0,0,80,2,1,1,2,195,195,115,193,194,194,193
5,Num192Line15Vers36,0,0,80,2,1,1,2,195,195,115,193,194,194,193
6,Num1297Line141Vers9,0,0,80,2,1,1,2,195,195,115,193,194,194,193
7,Num113Line13Vers31,0,0,80,2,1,1,2,195,195,115,193,194,194,193
8,Num253Line20Vers4,0,0,80,2,1,1,2,195,195,115,193,194,194,193
9,Num108Line13Vers26,0,0,80,2,1,1,2,195,195,115,193,194,194,193
10,Num1309Line144Vers8,0,0,80,2,1,1,2,195,195,115,193,194,194,193
11,Num165Line15Vers9,0,0,80,2,1,1,2,195,195,115,193,194,194,193
12,Num105Line13Vers23,0,0,80,2,1,1,2,195,195,115,193,194,194,193
13,Num179Line15Vers23,0,0,80,2,1,1,2,195,195,115,193,194,194,193
14,Num292Line20Vers43,0,0,80,2,1,1,2,195,195,115,193,194,194,193
15,Num678Line88Vers8,0,0,80,2,1,1,2,195,195,115,193,194,194,193
16,Num1304Line144Vers3,0,0,80,2,1,1,2,195,195,115,193,194,194,193
17,Num810Line104Vers11,0,0,80,2,1,1,2,195,195,115,193,194,194,193
18,Num266Line20Vers17,0,0,80,2,1,1,2,195,195,115,193,194,194,193
19,Num248Line19Vers8,0,0,80,2,1,1,2,195,195,115,193,194,194,193
20,Num1111Line119Vers1,0,0,80,2,1,1,2,195,195,115,193,194,194,193
21,Num1293Line141Vers5,0,0,80,2,1,1,2,195,195,115,193,194,194,193
22,Num262Line20Vers13,0,0,80,2,1,1,2,195,195,115,193,194,194,193
23,Num216Line16Vers22,0,0,80,2,1,1,2,195,195,115,193,194,194,193
24,Num91Line13Vers9,0,0,80,2,1,1,2,195,195,115,193,194,194,193
25,Num202Line16Vers8,0,0,80,2,1,1,2,195,195,115,193,194,194,193
26,Num101Line13Vers19,0,0,80,2,1,1,2,195,195,115,193,194,194,193
27,Num280Line20Vers31,0,0,80,2,1,1,2,195,195,115,193,194,194,193
28,Num139Line14Vers20,0,0,80,2,1,1,2,195,195,115,193,194,194,193
29,Num187Line15Vers31,0,0,80,2,1,1,2,195,195,115,193,194,194,193
30,Num144Line14Vers25,0,0,80,2,1,1,2,195,195,115,193,194,194,193
31,Num220Line16Vers26,0,0,80,2,1,1,2,195,195,115,193,194,194,193
32,Num379Line41Vers23,0,0,80,2,1,1,2,195,195,115,193,194,194,193
33,Num284Line20Vers35,0,0,80,2,1,1,2,195,195,115,193,194,194,193
34,Num23Line8Vers10,0,0,80,2,1,1,2,195,195,115,193,194,194,193
35,Num140Line14Vers21,0,0,80,2,1,1,2,195,195,115,193,194,194,193
36,Num111Line13Vers29,0,0,80,2,1,1,2,195,195,115,193,194,194,193
37,Num58Line11Vers12,0,0,80,2,1,1,2,195,195,115,193,194,194,193
38,Num1310Line144Vers9,0,0,80,2,1,1,2,195,195,115,193,194,194,193
39,Num78Line11Vers32,0,0,80,2,1,1,2,195,195,115,193,194,194,193
40,Num682Line88Vers12,0,0,80,2,1,1,2,195,195,115,193,194,194,193
41,Num674Line88Vers4,0,0,80,2,1,1,2,195,195,115,193,194,194,193
42,Num153Line14Vers34,0,0,80,2,1,1,2,195,195,115,193,194,194,193
43,Num1240Line139Vers25,0,0,80,2,1,1,2,195,195,115,193,194,194,193
44,Num226Line16Vers32,0,0,80,2,1,1,2,195,195,115,193,194,194,193
45,Num276Line20Vers27,0,0,80,2,1,1,2,195,195,115,193,194,194,193
46,Num281Line20Vers32,0,0,80,2,1,1,2,195,195,115,193,194,194,193
47,Num181Line15Vers25,0,0,80,2,1,1,2,195,195,115,193,194,194,193
48,Num145Line14Vers26,0,0,80,2,1,1,2,195,195,115,193,194,194,193
49,Num67Line11Vers21,0,0,80,2,1,1,2,195,195,115,193,194,194,193
50,Num22Line8Vers9,0,0,80,2,1,1,2,195,195,115,193,194,194,193
51,Num285Line20Vers36,0,0,80,2,1,1,2,195,195,115,193,194,194,193
52,Num272Line20Vers23,0,0,80,2,1,1,2,195,195,115,193,194,194,193
53,Num141Line14Vers22,0,0,80,2,1,1,2,195,195,115,193,194,194,193
54,Num157Line15Vers1,0,0,80,2,1,1,2,195,195,115,193,194,194,193
55,Num343Line37Vers1,0,0,80,2,1,1,2,195,195,115,193,194,194,193
56,Num422Line43Vers8,0,0,80,2,1,1,2,195,195,115,193,194,194,193
57,Num717Line92Vers7,0,0,80,2,1,1,2,195,195,115,193,194,194,193
58,Num798Line103Vers8,0,0,80,2,1,1,2,195,195,115,193,194,194,193
59,Num10Line7Vers10,0,195,80,2,1,1,2,195,0,115,193,194,194,193
60,Num1299Line143Vers1,0,0,80,2,1,1,2,195,195,115,193,194,194,193
61,Num1311Line144Vers10,0,0,80,2,1,1,2,195,195,115,193,194,194,193
62,Num185Line15Vers29,0,0,80,2,1,1,2,195,195,115,193,194,194,193
63,Num146Line14Vers27,0,0,80,2,1,1,2,195,195,115,193,194,194,193
64,Num1313Line144Vers12,0,0,80,2,1,1,2,195,195,115,193,194,194,193
65,Num275Line20Vers26,0,0,80,2,1,1,2,195,195,115,193,194,194,193
66,Num142Line14Vers23,0,0,80,2,1,1,2,195,195,115,193,194,194,193
67,Num464Line62Vers1,0,0,80,2,1,1,2,195,195,115,193,194,194,193
68,Num64Line11Vers18,0,0,80,2,1,1,2,195,195,115,193,194,194,193
69,Num286Line20Vers37,0,0,80,2,1,1,2,195,195,115,193,194,194,193
70,Num271Line20Vers22,0,0,80,2,1,1,2,195,195,115,193,194,194,193
71,Num264Line20Vers15,0,0,80,2,1,1,2,195,195,115,193,194,194,193
72,Num194Line15Vers38,0,0,80,2,1,1,2,195,195,115,193,194,194,193
73,Num1229Line139Vers14,0,0,80,2,1,1,2,195,195,115,193,194,194,193
74,Num219Line16Vers25,0,0,80,2,1,1,2,195,195,115,193,194,194,193
75,Num214Line16Vers20,0,0,80,2,1,1,2,195,195,115,193,194,194,193
76,Num126Line14Vers7,0,0,80,2,1,1,2,195,195,115,193,194,194,193
77,Num294Line20Vers45,0,0,80,2,1,1,2,195,195,115,193,194,194,193
78,Num1242Line139Vers27,0,0,80,2,1,1,2,195,195,115,193,194,194,193
79,Num1234Line139Vers19,0,0,80,2,1,1,2,195,195,115,193,194,194,193
80,Num476Line63Vers12,0,0,80,2,1,1,2,195,195,115,193,194,194,193
81,Num290Line20Vers41,0,0,80,2,1,1,2,195,195,115,193,194,194,193
82,Num1301Line143Vers3,0,0,80,2,1,1,2,195,195,115,193,194,194,193
83,Num48Line11Vers2,0,0,80,2,1,1,2,195,195,115,193,194,194,193
84,Num269Line20Vers20,0,0,80,2,1,1,2,195,195,115,193,194,194,193
85,Num25Line8Vers12,0,0,80,2,1,1,2,195,195,115,193,194,194,193
86,Num1130Line122Vers12,0,0,80,2,1,1,2,195,195,115,193,194,194,193
87,Num251Line20Vers2,0,0,80,2,1,1,2,195,195,115,193,194,194,193
88,Num367Line41Vers11,0,0,80,2,1,1,2,195,195,115,193,194,194,193
89,Num86Line13Vers4,0,0,80,2,1,1,2,195,195,115,193,194,194,193
90,Num13Line7Vers13,0,0,80,2,1,1,2,195,195,115,193,194,194,193
91,Num350Line37Vers8,0,0,80,2,1,1,2,195,195,115,193,194,194,193
92,Num189Line15Vers33,0,0,80,2,1,1,2,195,195,115,193,194,194,193
93,Num291Line20Vers42,0,0,80,2,1,1,2,195,195,115,193,194,194,193
94,Num895Line113Vers1,0,0,80,2,1,1,2,195,195,115,193,194,194,193
95,Num70Line11Vers24,0,0,80,2,1,1,2,195,195,115,193,194,194,193
96,Num1167Line134Vers1,0,0,80,2,1,1,2,195,195,115,193,194,194,193
97,Num1235Line139Vers20,0,0,80,2,1,1,2,195,195,115,193,194,194,193
98,Num231Line16Vers37,0,0,80,2,1,1,2,195,195,115,193,194,194,193
99,Num340Line34Vers12,0,0,80,2,1,1,2,195,195,115,193,194,194,193
100,Num428Line43Vers14,0,0,80,2,1,1,2,195,195,115,193,194,194,193
101,Num102Line13Vers20,0,0,80,2,1,1,2,195,195,115,193,194,194,193
102,Num224Line16Vers30,0,0,80,2,1,1,2,195,195,115,193,194,194,193
103,Num229Line16Vers35,0,0,80,2,1,1,2,195,195,115,193,194,194,193
104,Num183Line15Vers27,0,0,80,2,1,1,2,195,195,115,193,194,194,193
