name_id,folder_path,mutant_num,mutated_line,mutant_vers,mutant_code_from_mutated_line,did_it_crash,last_data_modification_date,last_data_modification_time,last_status_change_date,last_status_change_time,last_access_date,last_access_time,last_inode_date,last_inode_time,duration
Num10Line7Vers10,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num10Line7Vers10,10,7,10,"iMaxArrayLengthAlloc = uint32(18); % constant replaced: 19 -> 18
",False,2024-02-06,2024-02-07 14:20:01,2024-02-06,2024-02-07 14:19:57,2024-02-06,2024-02-07 14:19:57,2024-02-06,2024-02-07 14:19:38,0 days 00:00:23
Num100Line13Vers18,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num100Line13Vers18,100,13,18,"    a1Mat = zeros(1,(iMaxArrayLengthAlloc - uint32(0))*ivar,'single'); % constant replaced: 3 -> 0
",False,2024-02-06,2024-02-07 21:24:07,2024-02-06,2024-02-07 21:24:01,2024-02-06,2024-02-07 21:24:01,2024-02-06,2024-02-07 21:23:13,0 days 00:00:54
Num1000Line116Vers15,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1000Line116Vers15,1000,116,15,"        a1Mat((ii-2)*ivar + jj) = xhatact(1); % constant replaced: 2 -> 1
",False,2024-02-06,2024-02-07 22:25:09,2024-02-06,2024-02-07 22:25:04,2024-02-06,2024-02-07 22:25:04,2024-02-06,2024-02-07 22:24:26,0 days 00:00:43
Num1001Line116Vers16,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1001Line116Vers16,1001,116,16,"        a1Mat((ii-2)*ivar + jj) = xhatact(3); % constant replaced: 2 -> 3
",False,2024-02-06,2024-02-07 16:44:26,2024-02-06,2024-02-07 16:44:19,2024-02-06,2024-02-07 16:44:19,2024-02-06,2024-02-07 16:43:38,0 days 00:00:48
Num1009Line116Vers24,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1009Line116Vers24,1009,116,24,"        a1Mat((ii+2)*ivar + jj) = xhatact(2); % operator replaced: '-' -> '+'
",False,2024-02-06,2024-02-07 17:34:35,2024-02-06,2024-02-07 17:34:28,2024-02-06,2024-02-07 17:34:28,2024-02-06,2024-02-07 17:33:48,0 days 00:00:47
Num101Line13Vers19,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num101Line13Vers19,101,13,19,"    a1Mat = zeros(1,(iMaxArrayLengthAlloc - uint32(-3))*ivar,'single'); % constant replaced: 3 -> -3
",False,2024-02-06,2024-02-07 13:30:46,2024-02-06,2024-02-07 13:30:42,2024-02-06,2024-02-07 13:30:42,2024-02-06,2024-02-07 13:30:17,0 days 00:00:29
Num1010Line116Vers25,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1010Line116Vers25,1010,116,25,"        a1Mat((ii*2)*ivar + jj) = xhatact(2); % operator replaced: '-' -> '*'
",False,2024-02-06,2024-02-07 14:27:32,2024-02-06,2024-02-07 14:27:28,2024-02-06,2024-02-07 14:27:28,2024-02-06,2024-02-07 14:27:08,0 days 00:00:24
Num1011Line116Vers26,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1011Line116Vers26,1011,116,26,"        a1Mat((ii/2)*ivar + jj) = xhatact(2); % operator replaced: '-' -> '/'
",False,2024-02-06,2024-02-07 19:34:26,2024-02-06,2024-02-07 19:34:19,2024-02-06,2024-02-07 19:34:19,2024-02-06,2024-02-07 19:33:37,0 days 00:00:49
Num1012Line116Vers27,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1012Line116Vers27,1012,116,27,"        a1Mat((ii\2)*ivar + jj) = xhatact(2); % operator replaced: '-' -> '\'
",False,2024-02-06,2024-02-07 14:34:41,2024-02-06,2024-02-07 14:34:37,2024-02-06,2024-02-07 14:34:37,2024-02-06,2024-02-07 14:34:18,0 days 00:00:23
Num1013Line116Vers28,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1013Line116Vers28,1013,116,28,"        a1Mat((ii^2)*ivar + jj) = xhatact(2); % operator replaced: '-' -> '^'
",False,2024-02-06,2024-02-07 17:57:22,2024-02-06,2024-02-07 17:57:17,2024-02-06,2024-02-07 17:57:17,2024-02-06,2024-02-07 17:56:33,0 days 00:00:49
