name_id,folder_path,mutant_num,mutated_line,mutant_vers,mutant_code_from_mutated_line,did_it_crash,last_data_modification_date,last_data_modification_time,last_status_change_date,last_status_change_time,last_access_date,last_access_time,last_inode_date,last_inode_time,duration
Num586Line85Vers8,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num586Line85Vers8,586,85,8,"        MatA(iNumOfCalcTemp + 1,-3) = double(-1*xinttemp(jj)); % constant replaced: 3 -> -3
",True,2024-02-06,2024-02-07 15:00:05,2024-02-06,2024-02-07 14:59:58,2024-02-06,2024-02-07 14:59:58,2024-02-06,2024-02-07 14:59:45,0 days 00:00:20
Num589Line85Vers11,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num589Line85Vers11,589,85,11,"        MatA(iNumOfCalcTemp + 1,2.7) = double(-1*xinttemp(jj)); % constant replaced: 3 -> 2.7
",True,2024-02-06,2024-02-07 23:10:43,2024-02-06,2024-02-07 23:10:39,2024-02-06,2024-02-07 23:10:39,2024-02-06,2024-02-07 23:10:26,0 days 00:00:17
Num59Line11Vers13,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num59Line11Vers13,59,11,13,"persistent ErrR a1Mat b1Mat a-2Mat b2Mat idMat MatA xhatact xdatsortLoc ydatsortLoc sortindexLoc Rind R1 R2 % constant replaced: 2 -> -2
",True,2024-02-06,2024-02-07 19:00:32,2024-02-06,2024-02-07 19:00:27,2024-02-06,2024-02-07 19:00:27,2024-02-06,2024-02-07 19:00:15,0 days 00:00:17
Num590Line85Vers12,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num590Line85Vers12,590,85,12,"        MatA(iNumOfCalcTemp + 1,3.3) = double(-1*xinttemp(jj)); % constant replaced: 3 -> 3.3
",True,2024-02-06,2024-02-07 15:19:13,2024-02-06,2024-02-07 15:19:06,2024-02-06,2024-02-07 15:19:06,2024-02-06,2024-02-07 15:18:47,0 days 00:00:26
Num599Line85Vers21,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num599Line85Vers21,599,85,21,"        MatA(iNumOfCalcTemp \ 1,3) = double(-1*xinttemp(jj)); % operator replaced: '+' -> '\'
",True,2024-02-06,2024-02-07 22:58:38,2024-02-06,2024-02-07 22:58:33,2024-02-06,2024-02-07 22:58:33,2024-02-06,2024-02-07 22:58:20,0 days 00:00:18
Num6Line7Vers6,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num6Line7Vers6,6,7,6,"iMaxArrayLengthAlloc = uint28.8(19); % constant replaced: 32 -> 28.8
",True,2024-02-06,2024-02-07 12:53:54,2024-02-06,2024-02-07 12:53:50,2024-02-06,2024-02-07 12:53:50,2024-02-06,2024-02-07 12:53:38,0 days 00:00:16
Num60Line11Vers14,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num60Line11Vers14,60,11,14,"persistent ErrR a1Mat b1Mat a1Mat b2Mat idMat MatA xhatact xdatsortLoc ydatsortLoc sortindexLoc Rind R1 R2 % constant replaced: 2 -> 1
",True,2024-02-06,2024-02-07 15:15:20,2024-02-06,2024-02-07 15:15:14,2024-02-06,2024-02-07 15:15:14,2024-02-06,2024-02-07 15:14:55,0 days 00:00:25
Num602Line85Vers24,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num602Line85Vers24,602,85,24,"        MatA(iNumOfCalcTemp + 1,3) = double(*1*xinttemp(jj)); % operator replaced: '-' -> '*'
",True,2024-02-06,2024-02-07 13:26:00,2024-02-06,2024-02-07 13:25:55,2024-02-06,2024-02-07 13:25:55,2024-02-06,2024-02-07 13:25:42,0 days 00:00:18
Num603Line85Vers25,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num603Line85Vers25,603,85,25,"        MatA(iNumOfCalcTemp + 1,3) = double(/1*xinttemp(jj)); % operator replaced: '-' -> '/'
",True,2024-02-06,2024-02-07 21:52:48,2024-02-06,2024-02-07 21:52:41,2024-02-06,2024-02-07 21:52:41,2024-02-06,2024-02-07 21:52:21,0 days 00:00:27
Num604Line85Vers26,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num604Line85Vers26,604,85,26,"        MatA(iNumOfCalcTemp + 1,3) = double(\1*xinttemp(jj)); % operator replaced: '-' -> '\'
",True,2024-02-06,2024-02-07 22:04:27,2024-02-06,2024-02-07 22:04:22,2024-02-06,2024-02-07 22:04:22,2024-02-06,2024-02-07 22:04:03,0 days 00:00:24
Num605Line85Vers27,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num605Line85Vers27,605,85,27,"        MatA(iNumOfCalcTemp + 1,3) = double(^1*xinttemp(jj)); % operator replaced: '-' -> '^'
",True,2024-02-06,2024-02-07 17:07:39,2024-02-06,2024-02-07 17:07:31,2024-02-06,2024-02-07 17:07:31,2024-02-06,2024-02-07 17:07:06,0 days 00:00:33
Num613Line85Vers35,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num613Line85Vers35,613,85,35,"        MatA(iNumOfCalcTemp .\ 1,3) = double(-1*xinttemp(jj)); % operator replaced: '+' -> '.\'
",True,2024-02-06,2024-02-07 16:30:18,2024-02-06,2024-02-07 16:30:09,2024-02-06,2024-02-07 16:30:09,2024-02-06,2024-02-07 16:29:41,0 days 00:00:37
Num615Line85Vers37,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num615Line85Vers37,615,85,37,"        MatA(iNumOfCalcTemp + 1,3) = double(.*1*xinttemp(jj)); % operator replaced: '-' -> '.*'
",True,2024-02-06,2024-02-07 21:37:14,2024-02-06,2024-02-07 21:37:07,2024-02-06,2024-02-07 21:37:07,2024-02-06,2024-02-07 21:36:46,0 days 00:00:28
Num616Line85Vers38,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num616Line85Vers38,616,85,38,"        MatA(iNumOfCalcTemp + 1,3) = double(./1*xinttemp(jj)); % operator replaced: '-' -> './'
",True,2024-02-06,2024-02-07 22:55:50,2024-02-06,2024-02-07 22:55:46,2024-02-06,2024-02-07 22:55:46,2024-02-06,2024-02-07 22:55:34,0 days 00:00:16
Num617Line85Vers39,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num617Line85Vers39,617,85,39,"        MatA(iNumOfCalcTemp + 1,3) = double(.\1*xinttemp(jj)); % operator replaced: '-' -> '.\'
",True,2024-02-06,2024-02-07 17:32:39,2024-02-06,2024-02-07 17:32:33,2024-02-06,2024-02-07 17:32:33,2024-02-06,2024-02-07 17:32:13,0 days 00:00:26
Num618Line85Vers40,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num618Line85Vers40,618,85,40,"        MatA(iNumOfCalcTemp + 1,3) = double(.^1*xinttemp(jj)); % operator replaced: '-' -> '.^'
",True,2024-02-06,2024-02-07 15:05:03,2024-02-06,2024-02-07 15:04:58,2024-02-06,2024-02-07 15:04:58,2024-02-06,2024-02-07 15:04:46,0 days 00:00:17
Num62Line11Vers16,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num62Line11Vers16,62,11,16,"persistent ErrR a1Mat b1Mat a1.8Mat b2Mat idMat MatA xhatact xdatsortLoc ydatsortLoc sortindexLoc Rind R1 R2 % constant replaced: 2 -> 1.8
",True,2024-02-06,2024-02-07 13:05:24,2024-02-06,2024-02-07 13:05:18,2024-02-06,2024-02-07 13:05:18,2024-02-06,2024-02-07 13:05:05,0 days 00:00:19
Num623Line86Vers5,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num623Line86Vers5,623,86,5,"        MatA(iNumOfCalcTemp + 0.9,4) = double(-1); % constant replaced: 1 -> 0.9
",True,2024-02-06,2024-02-07 20:13:30,2024-02-06,2024-02-07 20:13:23,2024-02-06,2024-02-07 20:13:23,2024-02-06,2024-02-07 20:13:00,0 days 00:00:30
