,mutantID,testID,is_output_x_equal,is_output_y_equal,is_int_x_equal,is_int_y_equal
0,Num680Line88Vers10,VRfNx3Krud5jD43PHgxJdc,True,True,True,True
1,Num680Line88Vers10,SVumrKz2o5MrZ4LmouTKTt,True,True,True,True
2,Num680Line88Vers10,x9GsMzyJggmJVBFwtDdWgGy,True,True,True,True
3,Num680Line88Vers10,HGG3ZoLQDvNSCo68FfqnyR,True,True,True,True
4,Num680Line88Vers10,HrsMvznCqa4BcUSMQxhswN,True,True,True,True
5,Num680Line88Vers10,iZ6RWNFtznDcnW86BLoVzz,True,True,True,True
6,Num680Line88Vers10,JSoCQLK4JncUyGkTJmBf8U,True,True,True,True
7,Num680Line88Vers10,x8q6CUrM8evZ5i2MZSmuTyF,True,True,True,True
8,Num680Line88Vers10,grCYYqDppVgYjxEzo9gi8b,True,True,True,True
9,Num680Line88Vers10,GXKoJAoFCeMDN9hNHHZJbw,True,True,True,True
10,Num680Line88Vers10,DmDYBcDbmmYZFZEFtSzUHf,True,True,True,True
11,Num680Line88Vers10,a7JrStTEFDWRVJDJEE8iSi,True,True,True,True
12,Num680Line88Vers10,EGeSryitfwa2bo5qB9Z94f,True,True,True,True
13,Num680Line88Vers10,x7ametREFiSraNdMc3Su6Sd,True,True,True,True
14,Num680Line88Vers10,fumRDcrFqivMfX8wvHsy2i,True,True,True,True
15,Num680Line88Vers10,gVMc9vqN7G2m9EYvFDZKVT,True,True,True,True
16,Num680Line88Vers10,mpt5sxNXi3ZtuMbWEwTepW,True,True,True,True
17,Num680Line88Vers10,aHnRKeJd2osztTy9fkh9Am,True,True,True,True
18,Num680Line88Vers10,TNA7oJx2UdQErSeLKuK7fE,True,True,True,True
19,Num680Line88Vers10,fPjqNeKg8Y9FytR4jHQMi9,True,True,True,True
20,Num680Line88Vers10,jLntuYZDrWcLvC4MJ5v23b,True,True,True,True
21,Num680Line88Vers10,kcqGZAaauZU3gHx6LpaaJv,True,True,True,True
22,Num680Line88Vers10,SctED2kh5TbqELR9zaVCwj,True,True,True,True
23,Num680Line88Vers10,x8KYKfn8tieHKjYkFTJe23w,True,True,True,True
24,Num680Line88Vers10,x4qUhjzqKzvKTysxmYtdtvG,True,True,True,True
25,Num680Line88Vers10,mPj6cLgddNdt8f7zyHo6mA,True,True,True,True
26,Num680Line88Vers10,o9mEQL5eKtK5c8fdjA5e5P,True,True,True,True
27,Num680Line88Vers10,x8DL2scNsMvJaGeqBxMWU9n,True,True,True,True
28,Num680Line88Vers10,CFPucPcFjWGdGqdpUGTDM9,True,True,True,True
29,Num680Line88Vers10,JFyUSoESZtgRLyCpBGPPEZ,True,True,True,True
30,Num680Line88Vers10,x748vyTMHhyrecXxanBWjAq,True,True,True,True
31,Num680Line88Vers10,ZHUo9LALvgNyx8hGQ6xTkg,True,True,True,True
32,Num680Line88Vers10,x9Gt4m3ixi6Z2iPgr4S9mZQ,True,True,True,True
33,Num680Line88Vers10,a7TVyGyHzB6cy9Ugiw9ubw,True,True,True,True
34,Num680Line88Vers10,HNUGfo5en84QZsSUfRVEUh,True,True,True,True
35,Num680Line88Vers10,k7oZ58dZ4Xdi3zSZxVafyV,True,True,True,True
36,Num680Line88Vers10,x6q86zD4g8aZbVVqZcdmEDZ,True,True,True,True
37,Num680Line88Vers10,x9saWi9wChZ6xzpRWjjw8kP,True,True,True,True
38,Num680Line88Vers10,fehxPttF25H2GhXo44NGgu,True,True,True,True
39,Num680Line88Vers10,bEWNkMUyS9U6X2PDhjFM3d,True,True,True,True
40,Num680Line88Vers10,x5gMSVk4vgNeWihtwsCaD5R,True,True,True,True
41,Num680Line88Vers10,bkmk3hfxU8HRJjkgHEPkRL,True,True,True,True
42,Num680Line88Vers10,aHPQQ8RHzbYvv4N5SbmyS9,True,True,True,True
43,Num680Line88Vers10,aySNvZ66jzH2QwCwQ6iULY,True,True,True,True
44,Num680Line88Vers10,XqwEAJRUts6BNai8oWkA2t,True,True,True,True
45,Num680Line88Vers10,THBABTChki8CYZZkjFwWFn,True,True,True,True
46,Num680Line88Vers10,x2FZryZG7v5LxgJAaDnaozV,True,True,True,True
47,Num680Line88Vers10,x7tRzbZu3xFHe2SZ7DqKzrP,True,True,True,True
48,Num680Line88Vers10,F2GwHjD4J2wDoEq8ixXY25,True,True,True,True
49,Num680Line88Vers10,MHyUvHTtW6PjkYd5aZEHaj,True,True,True,True
50,Num680Line88Vers10,JsP7Bx2LLJFBDy544emtmp,True,True,True,True
51,Num680Line88Vers10,GnjwJnAQFuDeKzNeLJDnf6,True,True,True,True
52,Num680Line88Vers10,BXjdVB53kVCLDT8jmdLXDL,True,True,True,True
53,Num680Line88Vers10,x5iXieBpEqDCpMpBY6TThrM,True,True,True,True
54,Num680Line88Vers10,KCquU8wqagoA5BKiRayYUR,True,True,True,True
55,Num680Line88Vers10,MKpZPvonb2ueXFA55aRuYu,True,True,True,True
56,Num680Line88Vers10,cajucmziWvqioudNXC7mQm,True,True,True,True
57,Num680Line88Vers10,Rw4TPxbauHxuA8jpbDKy5A,True,True,True,True
58,Num680Line88Vers10,XCi6uNXM2CEn4CfSNV2232,True,True,True,True
59,Num680Line88Vers10,PZZxL8R8pPy2DbGeMZbzD7,True,True,True,True
60,Num680Line88Vers10,UNn9jRcMf6B9Z4XUDkCMUi,True,True,True,True
61,Num680Line88Vers10,x6tYYRZqsfRxDwDz6bKz2wb,True,True,True,True
62,Num680Line88Vers10,WvsgREEGeYQh6x9DBymQG6,True,True,True,True
63,Num680Line88Vers10,gfSswo4n2UABSVvXpkVA9S,True,True,True,True
64,Num680Line88Vers10,YDbTjZztQbpvmRBhjscD9Y,True,True,True,True
65,Num680Line88Vers10,RnFepgupsK5zKDQ8SM9P32,True,True,True,True
66,Num680Line88Vers10,x3WtpMdfxyBZxeuT8kceJVU,True,True,True,True
67,Num680Line88Vers10,f9i7ruDvy342YGdtrsrZ9G,True,True,True,True
68,Num680Line88Vers10,Gv6C9ys7JhZ7RoL5oMuCoF,True,True,True,True
69,Num680Line88Vers10,iyoNkiqBc5GqR5epghv3im,True,True,True,True
70,Num680Line88Vers10,ZJBaY2ZaQBAGKxpGKBr4By,True,True,True,True
71,Num680Line88Vers10,Kd6gZTQoghnYBiEeJgRooZ,True,True,True,True
72,Num680Line88Vers10,mJZL83R4fXE4TSFxawxco4,True,True,True,True
73,Num680Line88Vers10,PPUn7tBQgqS9a9o6Qfey2R,True,True,True,True
74,Num680Line88Vers10,AGCXNMCpMdCsra3dsWU2hG,True,True,True,True
75,Num680Line88Vers10,LDWDCrxgQa9gQAqdDGGH3x,True,True,True,True
76,Num680Line88Vers10,ds3jJZuSsK3cMmGsEqLshk,True,True,True,True
77,Num680Line88Vers10,x4Rj5ucA3YBu4aMBbDfuCfG,True,True,True,True
78,Num680Line88Vers10,oBScwonJCvpZ64jbXYUA6C,True,True,True,True
79,Num680Line88Vers10,XKE2U53jEieDUyvGf4R5Rc,True,True,True,True
80,Num680Line88Vers10,NJh5DonbvSCBPPqS8HPEPE,True,True,True,True
81,Num680Line88Vers10,dbVazjxnjQurvBANdqKXZf,True,True,True,True
82,Num680Line88Vers10,cxRiGhJ7zNUAyBzhBa3Lfs,True,True,True,True
83,Num680Line88Vers10,Qzjm3NE26YX5mZBeWm9YB6,True,True,True,True
84,Num680Line88Vers10,eCZo8t8qvSqqVKjMcRECK2,True,True,True,True
85,Num680Line88Vers10,K6Cb8CMKPeCPUtfAowoh7X,True,True,True,True
86,Num680Line88Vers10,DfiEixJ3AF5C82FC2wezAK,True,True,True,True
87,Num680Line88Vers10,AhqeLx7g3P7CmWasxipVox,True,True,True,True
88,Num680Line88Vers10,XinbRtkUWxtb49hpwnepo4,True,True,True,True
89,Num680Line88Vers10,x5wWGGUGHhX9XkC3dLkdBdV,True,True,True,True
90,Num680Line88Vers10,BM7miY2gP8nCt4ctS4DMwG,True,True,True,True
91,Num680Line88Vers10,Ren9VVTjXnUoDrMCqrq58v,True,True,True,True
92,Num680Line88Vers10,fdthhZCKYtPyNLkPeKzUFk,True,True,True,True
93,Num680Line88Vers10,N4PedYYfPvTxgXA2wWZuWm,True,True,True,True
94,Num680Line88Vers10,C5VtWXpTS3h65M2NPfsicQ,True,True,True,True
95,Num680Line88Vers10,k47qQDM7BQTH3C3aRRcq6a,True,True,True,True
96,Num680Line88Vers10,RD2L2DkeKELoRjQWbdZzyU,True,True,True,True
97,Num680Line88Vers10,LDByoQJZ8gdvkoVtfdJqwq,True,True,True,True
98,Num680Line88Vers10,kctAPR6DzBr82sFFrukpG9,True,True,True,True
99,Num680Line88Vers10,x4RTgVEr5qn2dwBBsVoE5Rg,True,True,True,True
100,Num680Line88Vers10,htZ63gzLmCEwxVDFiTE5n2,True,True,True,True
101,Num680Line88Vers10,fXZg2tcaY2v9YN7dwrDPFw,True,True,True,True
102,Num680Line88Vers10,HqdP34tWgTjut2nVifXjLp,True,True,True,True
103,Num680Line88Vers10,nbvUfjN7hAzQ8FVuxusoBP,True,True,True,True
104,Num680Line88Vers10,UDEMkNifgxzbYDESdiTVjH,True,True,True,True
105,Num680Line88Vers10,fk7Dr7ibLGrcSStcEokWaN,True,True,True,True
