,file_name,cnt_no_v_scaled,cnt_v_scaled,otro_scaled,status_scaled,cnt_no_v_g,cnt_v_g,otro_g,status_g,cnt_no_v_l,cnt_v_l,otro_l,status_l,cnt_no_v_e,cnt_v_e,otro_e,status_e
66,Num790Line102Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
67,Num503Line72Vers5,77,3,0,[],79,1,0,[],0,80,0,[],0,80,0,[]
68,Num1309Line144Vers8,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
69,Num112Line13Vers30,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
70,Num337Line34Vers9,80,0,0,[],0,80,0,[],0,80,0,[],80,0,0,[]
71,Num204Line16Vers10,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
72,Num462Line61Vers11,80,0,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
73,Num22Line8Vers9,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
74,Num61Line11Vers15,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
75,Num424Line43Vers10,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
76,Num1072Line118Vers4,78,2,0,[],10,70,0,[],20,60,0,[],0,80,0,[]
77,Num75Line11Vers29,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
78,Num398Line42Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
79,Num781Line101Vers57,50,30,0,[],78,2,0,[],0,80,0,[],0,80,0,[]
80,Num400Line42Vers3,79,1,0,[],78,2,0,[],0,80,0,[],0,80,0,[]
81,Num302Line22Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
82,Num464Line62Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
83,Num449Line60Vers4,78,2,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
84,Num248Line19Vers8,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
85,Num285Line20Vers36,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
