,file_name,cnt_no_v_g,cnt_v_g,otro_g,status_g,cnt_no_v_l,cnt_v_l,otro_l,status_l,cnt_no_v_e,cnt_v_e,otro_e,status_e
0,Num525Line82Vers8,32,82,1,[],25,89,1,[],16,98,1,[]
1,Num296Line21Vers1,30,84,1,[],26,88,1,[],13,101,1,[]
2,Num217Line16Vers23,30,84,1,[],26,88,1,[],13,101,1,[]
3,Num269Line20Vers20,30,84,1,[],26,88,1,[],13,101,1,[]
4,Num799Line103Vers9,30,84,1,[],26,88,1,[],13,101,1,[]
5,Num1323Line146Vers9,31,83,1,[],25,89,1,[],17,97,1,[]
6,Num1307Line144Vers6,30,84,1,[],26,88,1,[],13,101,1,[]
7,Num408Line42Vers11,21,93,1,[],22,92,1,[],12,102,1,[]
8,Num292Line20Vers43,30,84,1,[],26,88,1,[],13,101,1,[]
9,Num341Line35Vers1,0,114,1,[],0,114,1,[],114,0,1,[]
10,Num706Line90Vers23,2,112,1,[],79,35,1,[],11,103,1,[]
11,Num515Line74Vers4,0,114,1,[],0,114,1,[],114,0,1,[]
12,Num181Line15Vers25,30,84,1,[],26,88,1,[],13,101,1,[]
13,Num350Line37Vers8,30,84,1,[],26,88,1,[],13,101,1,[]
14,Num225Line16Vers31,30,84,1,[],26,88,1,[],13,101,1,[]
15,Num343Line37Vers1,30,84,1,[],26,88,1,[],13,101,1,[]
16,Num218Line16Vers24,30,84,1,[],26,88,1,[],13,101,1,[]
17,Num406Line42Vers9,32,82,1,[],42,72,1,[],9,105,1,[]
18,Num811Line104Vers12,30,84,1,[],26,88,1,[],13,101,1,[]
19,Num718Line92Vers8,30,84,1,[],26,88,1,[],13,101,1,[]
20,Num1380Line152Vers4,30,84,1,[],26,88,1,[],13,101,1,[]
21,Num1314Line145Vers1,0,114,1,[],0,114,1,[],114,0,1,[]
22,Num324Line33Vers3,34,79,2,[],23,90,2,[],10,103,2,[]
23,Num675Line88Vers5,30,84,1,[],26,88,1,[],13,101,1,[]
24,Num198Line16Vers4,30,84,1,[],26,88,1,[],13,101,1,[]
25,Num1345Line149Vers4,30,84,1,[],26,88,1,[],13,101,1,[]
26,Num263Line20Vers14,30,84,1,[],26,88,1,[],13,101,1,[]
27,Num819Line104Vers20,27,87,1,[],33,81,1,[],16,98,1,[]
28,Num277Line20Vers28,30,84,1,[],26,88,1,[],13,101,1,[]
29,Num671Line88Vers1,30,84,1,[],26,88,1,[],13,101,1,[]
30,Num1369Line151Vers4,30,84,1,[],26,88,1,[],13,101,1,[]
31,Num353Line38Vers2,30,84,1,[],26,88,1,[],13,101,1,[]
32,Num809Line104Vers10,28,86,1,[],29,85,1,[],14,100,1,[]
33,Num160Line15Vers4,30,84,1,[],26,88,1,[],13,101,1,[]
34,Num294Line20Vers45,30,84,1,[],26,88,1,[],13,101,1,[]
35,Num91Line13Vers9,30,84,1,[],26,88,1,[],13,101,1,[]
36,Num1367Line151Vers2,30,84,1,[],26,88,1,[],13,101,1,[]
37,Num798Line103Vers8,30,84,1,[],26,88,1,[],13,101,1,[]
38,Num86Line13Vers4,30,84,1,[],26,88,1,[],13,101,1,[]
39,Num265Line20Vers16,30,84,1,[],26,88,1,[],13,101,1,[]
40,Num1219Line139Vers4,0,114,1,[],0,114,1,[],24,90,1,[]
41,Num216Line16Vers22,30,84,1,[],26,88,1,[],13,101,1,[]
42,Num419Line43Vers5,0,114,1,[],0,114,1,[],114,0,1,[]
43,Num752Line101Vers28,31,83,1,[],30,84,1,[],16,98,1,[]
44,Num459Line61Vers8,35,79,1,[],20,94,1,[],13,101,1,[]
45,Num895Line113Vers1,30,85,0,[],27,88,0,[],13,102,0,[]
46,Num773Line101Vers49,31,83,1,[],27,87,1,[],13,101,1,[]
47,Num232Line16Vers38,30,84,1,[],26,88,1,[],13,101,1,[]
48,Num298Line21Vers3,30,84,1,[],26,88,1,[],13,101,1,[]
49,Num684Line90Vers1,0,114,1,[],0,114,1,[],114,0,1,[]
50,Num219Line16Vers25,30,84,1,[],26,88,1,[],13,101,1,[]
51,Num783Line101Vers59,30,84,1,[],30,84,1,[],12,102,1,[]
52,Num1381Line152Vers5,30,84,1,[],26,88,1,[],13,101,1,[]
53,Num1112Line120Vers1,30,85,0,[],27,88,0,[],13,102,0,[]
54,Num180Line15Vers24,30,84,1,[],26,88,1,[],13,101,1,[]
55,Num355Line39Vers1,30,84,1,[],26,88,1,[],13,101,1,[]
56,Num196Line16Vers2,30,84,1,[],26,88,1,[],13,101,1,[]
57,Num224Line16Vers30,30,84,1,[],26,88,1,[],13,101,1,[]
58,Num1343Line149Vers2,30,84,1,[],26,88,1,[],13,101,1,[]
59,Num1111Line119Vers1,30,85,0,[],27,88,0,[],13,102,0,[]
60,Num84Line13Vers2,30,84,1,[],26,88,1,[],13,101,1,[]
61,Num67Line11Vers21,30,84,1,[],26,88,1,[],13,101,1,[]
62,Num185Line15Vers29,30,84,1,[],26,88,1,[],13,101,1,[]
63,Num336Line34Vers8,0,114,1,[],0,114,1,[],114,0,1,[]
64,Num154Line14Vers35,30,84,1,[],26,88,1,[],13,101,1,[]
65,Num784Line101Vers60,33,81,1,[],28,86,1,[],14,100,1,[]
66,Num1176Line135Vers9,0,114,1,[],0,114,1,[],13,101,1,[]
67,Num428Line43Vers14,30,84,1,[],26,88,1,[],13,101,1,[]
68,Num412Line42Vers15,21,93,1,[],22,92,1,[],12,102,1,[]
69,Num23Line8Vers10,30,84,1,[],26,88,1,[],13,101,1,[]
70,Num281Line20Vers32,30,84,1,[],26,88,1,[],13,101,1,[]
71,Num273Line20Vers24,30,84,1,[],26,88,1,[],13,101,1,[]
72,Num267Line20Vers18,30,84,1,[],26,88,1,[],13,101,1,[]
73,Num751Line101Vers27,24,90,1,[],32,82,1,[],15,99,1,[]
74,Num427Line43Vers13,0,114,1,[],0,114,1,[],114,0,1,[]
75,Num119Line13Vers37,30,84,1,[],26,88,1,[],13,101,1,[]
76,Num249Line19Vers9,30,84,1,[],26,88,1,[],13,101,1,[]
77,Num230Line16Vers36,30,84,1,[],26,88,1,[],13,101,1,[]
78,Num39Line9Vers13,29,85,1,[],26,88,1,[],17,97,1,[]
79,Num780Line101Vers56,35,79,1,[],30,84,1,[],14,100,1,[]
80,Num666Line87Vers13,30,84,1,[],26,88,1,[],13,101,1,[]
81,Num1242Line139Vers27,30,84,1,[],26,88,1,[],13,101,1,[]
82,Num128Line14Vers9,30,84,1,[],26,88,1,[],13,101,1,[]
83,Num1233Line139Vers18,29,85,1,[],24,90,1,[],13,101,1,[]
84,Num25Line8Vers12,30,84,1,[],26,88,1,[],13,101,1,[]
85,Num116Line13Vers34,30,84,1,[],26,88,1,[],13,101,1,[]
86,Num138Line14Vers19,30,84,1,[],26,88,1,[],13,101,1,[]
87,Num830Line112Vers4,22,91,2,[],40,73,2,[],14,99,2,[]
88,Num202Line16Vers8,30,84,1,[],26,88,1,[],13,101,1,[]
89,Num37Line9Vers11,29,85,1,[],26,88,1,[],17,97,1,[]
90,Num1145Line122Vers27,33,82,0,[],29,86,0,[],10,105,0,[]
91,Num184Line15Vers28,30,84,1,[],26,88,1,[],13,101,1,[]
92,Num165Line15Vers9,30,84,1,[],26,88,1,[],13,101,1,[]
93,Num356Line40Vers1,30,84,1,[],26,88,1,[],13,101,1,[]
94,Num117Line13Vers35,30,84,1,[],26,88,1,[],13,101,1,[]
95,Num1142Line122Vers24,30,84,1,[],24,90,1,[],12,102,1,[]
96,Num141Line14Vers22,30,84,1,[],26,88,1,[],13,101,1,[]
97,Num1240Line139Vers25,30,84,1,[],26,88,1,[],13,101,1,[]
98,Num717Line92Vers7,30,84,1,[],26,88,1,[],13,101,1,[]
99,Num678Line88Vers8,30,84,1,[],26,88,1,[],13,101,1,[]
100,Num857Line112Vers31,33,81,1,[],33,81,1,[],18,96,1,[]
101,Num722Line93Vers4,27,87,1,[],36,78,1,[],17,97,1,[]
102,Num21Line8Vers8,30,84,1,[],26,88,1,[],13,101,1,[]
103,Num275Line20Vers26,30,84,1,[],26,88,1,[],13,101,1,[]
104,Num118Line13Vers36,30,84,1,[],26,88,1,[],13,101,1,[]
105,Num231Line16Vers37,30,84,1,[],26,88,1,[],13,101,1,[]
106,Num414Line42Vers17,21,93,1,[],22,92,1,[],12,102,1,[]
107,Num426Line43Vers12,30,84,1,[],26,88,1,[],13,101,1,[]
108,Num266Line20Vers17,30,84,1,[],26,88,1,[],13,101,1,[]
109,Num288Line20Vers39,30,84,1,[],26,88,1,[],13,101,1,[]
110,Num422Line43Vers8,30,84,1,[],26,88,1,[],13,101,1,[]
111,Num101Line13Vers19,30,84,1,[],26,88,1,[],13,101,1,[]
112,Num1246Line140Vers4,0,114,1,[],0,114,1,[],24,90,1,[]
113,Num1337Line146Vers23,37,77,1,[],25,89,1,[],18,96,1,[]
114,Num12Line7Vers12,30,84,1,[],26,88,1,[],13,101,1,[]
115,Num1329Line146Vers15,29,85,1,[],24,90,1,[],17,97,1,[]
116,Num354Line38Vers3,30,84,1,[],26,88,1,[],13,101,1,[]
117,Num222Line16Vers28,30,84,1,[],26,88,1,[],13,101,1,[]
118,Num1212Line138Vers10,0,114,1,[],0,114,1,[],24,90,1,[]
119,Num10Line7Vers10,30,84,1,[],26,88,1,[],13,101,1,[]
120,Num738Line101Vers14,35,79,1,[],32,82,1,[],10,104,1,[]
121,Num233Line17Vers1,30,84,1,[],26,88,1,[],13,101,1,[]
122,Num1302Line144Vers1,30,84,1,[],26,88,1,[],13,101,1,[]
123,Num1292Line141Vers4,30,84,1,[],26,88,1,[],13,101,1,[]
124,Num1129Line122Vers11,30,84,1,[],26,88,1,[],13,101,1,[]
125,Num352Line38Vers1,30,84,1,[],26,88,1,[],13,101,1,[]
126,Num299Line21Vers4,30,84,1,[],26,88,1,[],13,101,1,[]
127,Num405Line42Vers8,12,102,1,[],12,102,1,[],14,100,1,[]
128,Num291Line20Vers42,30,84,1,[],26,88,1,[],13,101,1,[]
129,Num1335Line146Vers21,45,69,1,[],34,80,1,[],28,86,1,[]
130,Num509Line72Vers11,27,87,1,[],29,85,1,[],18,96,1,[]
131,Num223Line16Vers29,30,84,1,[],26,88,1,[],13,101,1,[]
132,Num1350Line149Vers9,30,84,1,[],26,88,1,[],13,101,1,[]
133,Num920Line114Vers25,30,84,1,[],31,83,1,[],17,97,1,[]
134,Num166Line15Vers10,30,84,1,[],26,88,1,[],13,101,1,[]
135,Num774Line101Vers50,36,78,1,[],27,87,1,[],10,104,1,[]
136,Num439Line51Vers3,0,114,1,[],0,114,1,[],114,0,1,[]
137,Num1139Line122Vers21,0,115,0,[],0,115,0,[],115,0,0,[]
138,Num100Line13Vers18,30,84,1,[],26,88,1,[],13,101,1,[]
139,Num191Line15Vers35,30,84,1,[],26,88,1,[],13,101,1,[]
140,Num48Line11Vers2,30,84,1,[],26,88,1,[],13,101,1,[]
141,Num1251Line140Vers9,0,114,1,[],0,114,1,[],24,90,1,[]
142,Num763Line101Vers39,40,74,1,[],18,96,1,[],10,104,1,[]
143,Num1327Line146Vers13,27,87,1,[],23,91,1,[],8,106,1,[]
144,Num532Line82Vers15,32,82,1,[],25,89,1,[],16,98,1,[]
145,Num1386Line152Vers10,30,84,1,[],26,88,1,[],13,101,1,[]
146,Num327Line33Vers6,0,114,1,[],0,114,1,[],114,0,1,[]
147,Num1331Line146Vers17,27,87,1,[],23,91,1,[],8,106,1,[]
148,Num810Line104Vers11,30,84,1,[],26,88,1,[],13,101,1,[]
149,Num1318Line146Vers4,30,84,1,[],25,89,1,[],11,103,1,[]
150,Num526Line82Vers9,32,82,1,[],25,89,1,[],16,98,1,[]
