,file_name,cnt_no_v,cnt_v,otro,status
0,Num151Line14Vers32,0,80,0,[]
1,Num184Line15Vers28,0,80,0,[]
2,Num1212Line138Vers10,0,25,0,[]
3,Num594Line85Vers16,8,71,0,[]
4,Num1293Line141Vers5,0,80,0,[]
5,Num183Line15Vers27,0,80,0,[]
6,Num284Line20Vers35,0,80,0,[]
7,Num273Line20Vers24,0,80,0,[]
8,Num101Line13Vers19,0,80,0,[]
9,Num1342Line149Vers1,0,80,0,[]
10,Num241Line19Vers1,0,80,0,[]
11,Num509Line72Vers11,5,75,0,[]
12,Num265Line20Vers16,0,80,0,[]
13,Num297Line21Vers2,0,80,0,[]
14,Num64Line11Vers18,0,80,0,[]
15,Num823Line104Vers24,13,67,0,[]
16,Num760Line101Vers36,30,50,0,[]
17,Num609Line85Vers31,0,80,0,[]
18,Num781Line101Vers57,38,42,0,[]
19,Num192Line15Vers36,0,80,0,[]
20,Num780Line101Vers56,34,46,0,[]
21,Num281Line20Vers32,0,80,0,[]
22,Num761Line101Vers37,36,44,0,[]
23,Num336Line34Vers8,0,4,0,[]
24,Num798Line103Vers8,0,80,0,[]
25,Num13Line7Vers13,0,80,0,[]
26,Num75Line11Vers29,0,80,0,[]
27,Num128Line14Vers9,0,80,0,[]
28,Num11Line7Vers11,0,80,0,[]
29,Num110Line13Vers28,0,80,0,[]
30,Num452Line61Vers1,5,75,0,[]
31,Num1374Line151Vers9,1,79,0,[]
32,Num1239Line139Vers24,0,25,0,[]
33,Num681Line88Vers11,0,80,0,[]
34,Num773Line101Vers49,30,50,0,[]
35,Num1232Line139Vers17,0,80,0,[]
36,Num154Line14Vers35,0,80,0,[]
37,Num439Line51Vers3,0,4,0,[]
38,Num90Line13Vers8,0,80,0,[]
39,Num1310Line144Vers9,0,80,0,[]
40,Num86Line13Vers4,0,80,0,[]
41,Num790Line102Vers1,0,80,0,[]
42,Num299Line21Vers4,0,80,0,[]
43,Num675Line88Vers5,0,80,0,[]
44,Num350Line37Vers8,0,80,0,[]
45,Num113Line13Vers31,0,80,0,[]
46,Num1176Line135Vers9,0,3,0,[]
47,Num53Line11Vers7,0,80,0,[]
48,Num368Line41Vers12,0,80,0,[]
49,Num1308Line144Vers7,0,80,0,[]
50,Num1366Line151Vers1,6,74,0,[]
51,Num474Line63Vers10,15,65,0,[]
52,Num102Line13Vers20,0,80,0,[]
53,Num1323Line146Vers9,8,72,0,[]
54,Num277Line20Vers28,0,80,0,[]
55,Num67Line11Vers21,0,80,0,[]
56,Num149Line14Vers30,0,80,0,[]
57,Num1311Line144Vers10,0,80,0,[]
58,Num119Line13Vers37,0,80,0,[]
59,Num37Line9Vers11,1,79,0,[]
60,Num1111Line119Vers1,0,80,0,[]
61,Num298Line21Vers3,0,80,0,[]
62,Num121Line14Vers2,0,80,0,[]
63,Num180Line15Vers24,0,80,0,[]
64,Num856Line112Vers30,25,55,0,[]
65,Num1251Line140Vers9,0,25,0,[]
66,Num191Line15Vers35,0,80,0,[]
67,Num157Line15Vers1,0,80,0,[]
68,Num139Line14Vers20,0,80,0,[]
69,Num272Line20Vers23,0,80,0,[]
70,Num1300Line143Vers2,0,80,0,[]
71,Num758Line101Vers34,38,39,0,[]
72,Num459Line61Vers8,5,75,0,[]
73,Num1297Line141Vers9,0,80,0,[]
74,Num1302Line144Vers1,0,80,0,[]
75,Num1329Line146Vers15,15,64,0,[]
76,Num671Line88Vers1,0,80,0,[]
77,Num108Line13Vers26,0,80,0,[]
78,Num1328Line146Vers14,28,52,0,[]
79,Num341Line35Vers1,0,4,0,[]
80,Num1236Line139Vers21,0,80,0,[]
81,Num127Line14Vers8,0,80,0,[]
82,Num635Line86Vers17,12,64,0,[]
83,Num412Line42Vers15,5,75,0,[]
84,Num1307Line144Vers6,0,80,0,[]
85,Num857Line112Vers31,15,64,0,[]
86,Num682Line88Vers12,0,80,0,[]
87,Num449Line60Vers4,13,67,0,[]
88,Num187Line15Vers31,0,80,0,[]
89,Num278Line20Vers29,0,80,0,[]
90,Num461Line61Vers10,5,75,0,[]
91,Num1381Line152Vers5,0,80,0,[]
92,Num784Line101Vers60,21,57,0,[]
93,Num114Line13Vers32,0,80,0,[]
94,Num178Line15Vers22,0,80,0,[]
95,Num161Line15Vers5,0,80,0,[]
96,Num105Line13Vers23,0,80,0,[]
97,Num338Line34Vers10,2,78,0,[]
98,Num379Line41Vers23,0,80,0,[]
99,Num146Line14Vers27,0,80,0,[]
100,Num1350Line149Vers9,0,80,0,[]
101,Num1219Line139Vers4,0,25,0,[]
102,Num819Line104Vers20,13,67,0,[]
103,Num22Line8Vers9,0,80,0,[]
104,Num1240Line139Vers25,0,80,0,[]
105,Num291Line20Vers42,0,80,0,[]
106,Num822Line104Vers23,13,67,0,[]
107,Num91Line13Vers9,0,80,0,[]
108,Num1298Line142Vers1,0,25,0,[]
109,Num519Line82Vers2,13,67,0,[]
110,Num1333Line146Vers19,15,64,0,[]
111,Num186Line15Vers30,0,80,0,[]
112,Num48Line11Vers2,0,80,0,[]
113,Num1345Line149Vers4,0,80,0,[]
114,Num399Line42Vers2,5,75,0,[]
115,Num738Line101Vers14,29,51,0,[]
116,Num262Line20Vers13,0,80,0,[]
117,Num1231Line139Vers16,0,80,0,[]
118,Num669Line87Vers16,0,26,0,[]
119,Num1304Line144Vers3,0,80,0,[]
120,Num156Line14Vers37,0,80,0,[]
121,Num1299Line143Vers1,0,80,0,[]
122,Num12Line7Vers12,0,80,0,[]
123,Num1380Line152Vers4,3,77,0,[]
124,Num83Line13Vers1,0,80,0,[]
125,Num337Line34Vers9,0,4,0,[]
126,Num179Line15Vers23,0,80,0,[]
