,file_name,cnt_no_v_scaled,cnt_v_scaled,otro_scaled,status_scaled,cnt_no_v_g,cnt_v_g,otro_g,status_g,cnt_no_v_l,cnt_v_l,otro_l,status_l,cnt_no_v_e,cnt_v_e,otro_e,status_e
0,Num44Line10Vers5,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
1,Num46Line10Vers7,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
2,Num161Line15Vers5,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
3,Num1312Line144Vers11,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
4,Num1166Line133Vers1,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
5,Num1116Line121Vers4,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
6,Num1239Line139Vers24,115,0,0,[],0,115,0,[],0,115,0,[],0,115,0,[]
7,Num90Line13Vers8,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
8,Num83Line13Vers1,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
9,Num1231Line139Vers16,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
10,Num430Line43Vers16,115,0,0,[],1,114,0,[],0,115,0,[],114,1,0,[]
11,Num183Line15Vers27,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
12,Num1188Line136Vers10,115,0,0,[],0,115,0,[],0,115,0,[],0,115,0,[]
13,Num227Line16Vers33,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
14,Num418Line43Vers4,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
15,Num126Line14Vers7,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
16,Num120Line14Vers1,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
17,Num290Line20Vers41,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
18,Num241Line19Vers1,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
19,Num1235Line139Vers20,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
20,Num1305Line144Vers4,114,1,0,[],114,1,0,[],0,115,0,[],0,115,0,[]
21,Num435Line43Vers21,115,0,0,[],0,115,0,[],0,115,0,[],115,0,0,[]
