,file_name,cnt_no_v,cnt_v,otro,status
0,Num151Line14Vers32,115,0,0,[]
1,Num184Line15Vers28,115,0,0,[]
2,Num1212Line138Vers10,0,20,0,[]
3,Num594Line85Vers16,84,30,0,[]
4,Num1293Line141Vers5,115,0,0,[]
5,Num183Line15Vers27,115,0,0,[]
6,Num284Line20Vers35,115,0,0,[]
7,Num273Line20Vers24,115,0,0,[]
8,Num101Line13Vers19,115,0,0,[]
9,Num1342Line149Vers1,2,113,0,[]
10,Num241Line19Vers1,115,0,0,[]
11,Num509Line72Vers11,32,83,0,[]
12,Num265Line20Vers16,115,0,0,[]
13,Num297Line21Vers2,115,0,0,[]
14,Num64Line11Vers18,115,0,0,[]
15,Num823Line104Vers24,98,17,0,[]
16,Num760Line101Vers36,82,32,0,[]
17,Num609Line85Vers31,115,0,0,[]
18,Num781Line101Vers57,83,31,0,[]
19,Num192Line15Vers36,115,0,0,[]
20,Num780Line101Vers56,84,29,0,[]
21,Num281Line20Vers32,115,0,0,[]
22,Num761Line101Vers37,78,37,0,[]
23,Num336Line34Vers8,0,2,0,[]
24,Num798Line103Vers8,115,0,0,[]
25,Num13Line7Vers13,115,0,0,[]
26,Num75Line11Vers29,115,0,0,[]
27,Num128Line14Vers9,115,0,0,[]
28,Num11Line7Vers11,115,0,0,[]
29,Num110Line13Vers28,115,0,0,[]
30,Num452Line61Vers1,20,95,0,[]
31,Num1374Line151Vers9,47,68,0,[]
32,Num1239Line139Vers24,0,20,0,[]
33,Num681Line88Vers11,115,0,0,[]
34,Num773Line101Vers49,82,32,0,[]
35,Num1232Line139Vers17,115,0,0,[]
36,Num154Line14Vers35,115,0,0,[]
37,Num439Line51Vers3,0,2,0,[]
38,Num90Line13Vers8,115,0,0,[]
39,Num1310Line144Vers9,115,0,0,[]
40,Num86Line13Vers4,115,0,0,[]
41,Num790Line102Vers1,115,0,0,[]
42,Num299Line21Vers4,115,0,0,[]
43,Num675Line88Vers5,115,0,0,[]
44,Num350Line37Vers8,115,0,0,[]
45,Num113Line13Vers31,115,0,0,[]
46,Num1176Line135Vers9,5,2,0,[]
47,Num53Line11Vers7,115,0,0,[]
48,Num368Line41Vers12,115,0,0,[]
49,Num1308Line144Vers7,115,0,0,[]
50,Num1366Line151Vers1,60,55,0,[]
51,Num474Line63Vers10,96,19,0,[]
52,Num102Line13Vers20,115,0,0,[]
53,Num1323Line146Vers9,36,79,0,[]
54,Num277Line20Vers28,115,0,0,[]
55,Num67Line11Vers21,115,0,0,[]
56,Num149Line14Vers30,115,0,0,[]
57,Num1311Line144Vers10,115,0,0,[]
58,Num119Line13Vers37,115,0,0,[]
59,Num37Line9Vers11,115,0,0,[]
60,Num1111Line119Vers1,115,0,0,[]
61,Num298Line21Vers3,115,0,0,[]
62,Num121Line14Vers2,115,0,0,[]
63,Num180Line15Vers24,115,0,0,[]
64,Num856Line112Vers30,101,14,0,[]
65,Num1251Line140Vers9,0,20,0,[]
66,Num191Line15Vers35,115,0,0,[]
67,Num157Line15Vers1,115,0,0,[]
68,Num139Line14Vers20,115,0,0,[]
69,Num272Line20Vers23,115,0,0,[]
70,Num1300Line143Vers2,115,0,0,[]
71,Num758Line101Vers34,66,45,0,[]
72,Num459Line61Vers8,20,95,0,[]
73,Num1297Line141Vers9,115,0,0,[]
74,Num1302Line144Vers1,115,0,0,[]
75,Num1329Line146Vers15,54,61,0,[]
76,Num671Line88Vers1,115,0,0,[]
77,Num108Line13Vers26,115,0,0,[]
78,Num1328Line146Vers14,68,46,0,[]
79,Num341Line35Vers1,0,2,0,[]
80,Num1236Line139Vers21,115,0,0,[]
81,Num127Line14Vers8,115,0,0,[]
82,Num635Line86Vers17,79,33,0,[]
83,Num412Line42Vers15,23,92,0,[]
84,Num1307Line144Vers6,115,0,0,[]
85,Num857Line112Vers31,104,11,0,[]
86,Num682Line88Vers12,115,0,0,[]
87,Num449Line60Vers4,21,94,0,[]
88,Num187Line15Vers31,115,0,0,[]
89,Num278Line20Vers29,115,0,0,[]
90,Num461Line61Vers10,14,101,0,[]
91,Num1381Line152Vers5,3,112,0,[]
92,Num784Line101Vers60,91,24,0,[]
93,Num114Line13Vers32,115,0,0,[]
94,Num178Line15Vers22,115,0,0,[]
95,Num161Line15Vers5,115,0,0,[]
96,Num105Line13Vers23,115,0,0,[]
97,Num338Line34Vers10,113,2,0,[]
98,Num379Line41Vers23,115,0,0,[]
99,Num146Line14Vers27,115,0,0,[]
100,Num1350Line149Vers9,2,113,0,[]
101,Num1219Line139Vers4,0,20,0,[]
102,Num819Line104Vers20,98,17,0,[]
103,Num22Line8Vers9,115,0,0,[]
104,Num1240Line139Vers25,115,0,0,[]
105,Num291Line20Vers42,115,0,0,[]
106,Num822Line104Vers23,98,17,0,[]
107,Num91Line13Vers9,115,0,0,[]
108,Num1298Line142Vers1,0,20,0,[]
109,Num519Line82Vers2,104,11,0,[]
110,Num1333Line146Vers19,54,61,0,[]
111,Num186Line15Vers30,115,0,0,[]
112,Num48Line11Vers2,115,0,0,[]
113,Num1345Line149Vers4,2,113,0,[]
114,Num399Line42Vers2,23,92,0,[]
115,Num738Line101Vers14,76,37,0,[]
116,Num262Line20Vers13,115,0,0,[]
117,Num1231Line139Vers16,115,0,0,[]
118,Num669Line87Vers16,25,1,0,[]
119,Num1304Line144Vers3,115,0,0,[]
120,Num156Line14Vers37,115,0,0,[]
121,Num1299Line143Vers1,115,0,0,[]
122,Num12Line7Vers12,115,0,0,[]
123,Num1380Line152Vers4,2,113,0,[]
124,Num83Line13Vers1,115,0,0,[]
125,Num337Line34Vers9,0,2,0,[]
126,Num179Line15Vers23,115,0,0,[]
127,Num21Line8Vers8,115,0,0,[]
128,Num339Line34Vers11,115,0,0,[]
129,Num1340Line147Vers1,115,0,0,[]
130,Num104Line13Vers22,115,0,0,[]
131,Num267Line20Vers18,115,0,0,[]
132,Num45Line10Vers6,113,2,0,[]
133,Num10Line7Vers10,115,0,0,[]
134,Num70Line11Vers24,115,0,0,[]
135,Num378Line41Vers22,115,0,0,[]
136,Num342Line36Vers1,0,2,0,[]
137,Num464Line62Vers1,115,0,0,[]
138,Num112Line13Vers30,115,0,0,[]
139,Num475Line63Vers11,115,0,0,[]
140,Num103Line13Vers21,115,0,0,[]
141,Num1154Line122Vers36,106,8,0,[]
142,Num510Line72Vers12,31,84,0,[]
143,Num61Line11Vers15,115,0,0,[]
144,Num353Line38Vers2,115,0,0,[]
145,Num354Line38Vers3,115,0,0,[]
146,Num1142Line122Vers24,110,5,0,[]
147,Num118Line13Vers36,115,0,0,[]
148,Num1238Line139Vers23,0,20,0,[]
149,Num1141Line122Vers23,0,2,0,[]
150,Num1378Line152Vers2,3,112,0,[]
151,Num286Line20Vers37,115,0,0,[]
152,Num739Line101Vers15,79,36,0,[]
153,Num181Line15Vers25,115,0,0,[]
154,Num414Line42Vers17,23,92,0,[]
155,Num528Line82Vers11,104,11,0,[]
156,Num294Line20Vers45,115,0,0,[]
157,Num1301Line143Vers3,115,0,0,[]
158,Num1332Line146Vers18,68,46,0,[]
159,Num268Line20Vers19,115,0,0,[]
160,Num109Line13Vers27,115,0,0,[]
161,Num1296Line141Vers8,115,0,0,[]
162,Num160Line15Vers4,115,0,0,[]
163,Num830Line112Vers4,60,53,0,[]
164,Num824Line104Vers25,98,17,0,[]
165,Num799Line103Vers9,115,0,0,[]
166,Num1200Line137Vers9,0,20,0,[]
167,Num895Line113Vers1,115,0,0,[]
168,Num1336Line146Vers22,49,66,0,[]
169,Num275Line20Vers26,115,0,0,[]
170,Num340Line34Vers12,115,0,0,[]
171,Num1305Line144Vers4,115,0,0,[]
172,Num680Line88Vers10,115,0,0,[]
173,Num525Line82Vers8,104,11,0,[]
174,Num808Line104Vers9,79,36,0,[]
175,Num263Line20Vers14,115,0,0,[]
176,Num111Line13Vers29,115,0,0,[]
177,Num26Line8Vers13,115,0,0,[]
178,Num405Line42Vers8,74,27,0,[]
179,Num289Line20Vers40,115,0,0,[]
180,Num463Line61Vers12,38,77,0,[]
181,Num302Line22Vers1,114,1,0,[]
182,Num144Line14Vers25,115,0,0,[]
183,Num1354Line150Vers2,5,110,0,[]
184,Num23Line8Vers10,115,0,0,[]
185,Num811Line104Vers12,115,0,0,[]
186,Num24Line8Vers11,0,2,0,[]
187,Num1235Line139Vers20,115,0,0,[]
188,Num185Line15Vers29,115,0,0,[]
189,Num343Line37Vers1,115,0,0,[]
190,Num36Line9Vers10,114,1,0,[]
191,Num530Line82Vers13,104,11,0,[]
192,Num253Line20Vers4,115,0,0,[]
193,Num1353Line150Vers1,5,110,0,[]
194,Num1292Line141Vers4,115,0,0,[]
195,Num1312Line144Vers11,115,0,0,[]
196,Num141Line14Vers22,115,0,0,[]
197,Num194Line15Vers38,115,0,0,[]
198,Num476Line63Vers12,115,0,0,[]
199,Num807Line104Vers8,98,17,0,[]
200,Num1116Line121Vers4,115,0,0,[]
201,Num250Line20Vers1,115,0,0,[]
202,Num717Line92Vers7,115,0,0,[]
203,Num182Line15Vers26,115,0,0,[]
204,Num351Line37Vers9,115,0,0,[]
205,Num674Line88Vers4,115,0,0,[]
206,Num1337Line146Vers23,30,85,0,[]
207,Num1129Line122Vers11,115,0,0,[]
208,Num100Line13Vers18,115,0,0,[]
209,Num751Line101Vers27,87,26,0,[]
210,Num1318Line146Vers4,70,45,0,[]
211,Num193Line15Vers37,115,0,0,[]
212,Num252Line20Vers3,115,0,0,[]
213,Num270Line20Vers21,115,0,0,[]
214,Num425Line43Vers11,0,2,0,[]
215,Num106Line13Vers24,115,0,0,[]
216,Num148Line14Vers29,115,0,0,[]
217,Num718Line92Vers8,115,0,0,[]
218,Num679Line88Vers9,115,0,0,[]
219,Num324Line33Vers3,16,98,0,[]
220,Num117Line13Vers35,115,0,0,[]
221,Num1377Line152Vers1,3,112,0,[]
