,mutant_ID,is_output_x_equal_true,is_output_x_equal_false,is_output_x_equal_other,is_output_y_equal_true,is_output_y_equal_false,is_output_y_equal_other,is_int_x_equal_true,is_int_x_equal_false,is_int_x_equal_other,is_int_y_equal_true,is_int_y_equal_false,is_int_y_equal_other
137,Num294Line20Vers45,195,0,0,195,0,0,195,0,0,195,0,0
138,Num1242Line139Vers27,195,0,0,195,0,0,195,0,0,195,0,0
139,Num463Line61Vers12,6,189,0,0,195,0,161,34,0,8,187,0
140,Num1234Line139Vers19,195,0,0,195,0,0,195,0,0,195,0,0
141,Num476Line63Vers12,195,0,0,195,0,0,195,0,0,195,0,0
142,Num822Line104Vers23,67,128,0,67,128,0,79,116,0,80,115,0
143,Num594Line85Vers16,0,195,0,0,195,0,1,194,0,1,194,0
144,Num1345Line149Vers4,195,0,0,0,195,0,195,0,0,195,0,0
145,Num290Line20Vers41,195,0,0,195,0,0,195,0,0,195,0,0
146,Num1301Line143Vers3,195,0,0,195,0,0,195,0,0,195,0,0
147,Num670Line87Vers17,0,195,0,0,195,0,0,195,0,0,195,0
148,Num751Line101Vers27,89,106,0,89,106,0,103,92,0,103,92,0
149,Num857Line112Vers31,112,83,0,112,83,0,140,55,0,139,56,0
150,Num48Line11Vers2,195,0,0,195,0,0,195,0,0,195,0,0
151,Num269Line20Vers20,195,0,0,195,0,0,195,0,0,195,0,0
152,Num1323Line146Vers9,195,0,0,195,0,0,195,0,0,0,195,0
153,Num25Line8Vers12,195,0,0,195,0,0,195,0,0,195,0,0
154,Num1130Line122Vers12,195,0,0,195,0,0,195,0,0,195,0,0
155,Num251Line20Vers2,195,0,0,195,0,0,195,0,0,195,0,0
156,Num526Line82Vers9,82,113,0,82,113,0,110,85,0,109,86,0
157,Num338Line34Vers10,6,189,0,0,195,0,189,6,0,192,3,0
158,Num367Line41Vers11,195,0,0,195,0,0,195,0,0,195,0,0
159,Num86Line13Vers4,195,0,0,195,0,0,195,0,0,195,0,0
160,Num13Line7Vers13,195,0,0,195,0,0,195,0,0,195,0,0
161,Num408Line42Vers11,16,179,0,12,183,0,77,118,0,31,164,0
162,Num350Line37Vers8,195,0,0,195,0,0,195,0,0,195,0,0
163,Num1200Line137Vers9,0,195,0,0,195,0,0,195,0,0,195,0
164,Num529Line82Vers12,82,113,0,82,113,0,110,85,0,109,86,0
165,Num295Line20Vers46,195,0,0,195,0,0,195,0,0,195,0,0
