,index,mutant_ID,is_output_x_equal_true,is_output_x_equal_false,is_output_x_equal_other,is_output_y_equal_true,is_output_y_equal_false,is_output_y_equal_other,is_int_x_equal_true,is_int_x_equal_false,is_int_x_equal_other,is_int_y_equal_true,is_int_y_equal_false,is_int_y_equal_other
0,0,Num84Line13Vers2,195,0,0,195,0,0,195,0,0,195,0,0
1,1,Num232Line16Vers38,195,0,0,195,0,0,195,0,0,195,0,0
2,2,Num1230Line139Vers15,195,0,0,195,0,0,195,0,0,195,0,0
3,4,Num117Line13Vers35,195,0,0,195,0,0,195,0,0,195,0,0
4,5,Num161Line15Vers5,195,0,0,195,0,0,195,0,0,195,0,0
5,8,Num192Line15Vers36,195,0,0,195,0,0,195,0,0,195,0,0
6,11,Num1297Line141Vers9,195,0,0,195,0,0,195,0,0,195,0,0
7,13,Num113Line13Vers31,195,0,0,195,0,0,195,0,0,195,0,0
8,14,Num253Line20Vers4,195,0,0,195,0,0,195,0,0,195,0,0
9,20,Num108Line13Vers26,195,0,0,195,0,0,195,0,0,195,0,0
10,21,Num1309Line144Vers8,195,0,0,195,0,0,195,0,0,195,0,0
11,22,Num165Line15Vers9,195,0,0,195,0,0,195,0,0,195,0,0
12,23,Num105Line13Vers23,195,0,0,195,0,0,195,0,0,195,0,0
13,24,Num179Line15Vers23,195,0,0,195,0,0,195,0,0,195,0,0
14,26,Num292Line20Vers43,195,0,0,195,0,0,195,0,0,195,0,0
15,27,Num678Line88Vers8,195,0,0,195,0,0,195,0,0,195,0,0
16,30,Num1304Line144Vers3,195,0,0,195,0,0,195,0,0,195,0,0
17,32,Num810Line104Vers11,195,0,0,195,0,0,195,0,0,195,0,0
18,34,Num266Line20Vers17,195,0,0,195,0,0,195,0,0,195,0,0
19,36,Num248Line19Vers8,195,0,0,195,0,0,195,0,0,195,0,0
20,38,Num1111Line119Vers1,195,0,0,195,0,0,195,0,0,195,0,0
21,40,Num1293Line141Vers5,195,0,0,195,0,0,195,0,0,195,0,0
22,42,Num262Line20Vers13,195,0,0,195,0,0,195,0,0,195,0,0
23,44,Num216Line16Vers22,195,0,0,195,0,0,195,0,0,195,0,0
24,45,Num91Line13Vers9,195,0,0,195,0,0,195,0,0,195,0,0
25,46,Num202Line16Vers8,195,0,0,195,0,0,195,0,0,195,0,0
26,50,Num101Line13Vers19,195,0,0,195,0,0,195,0,0,195,0,0
27,51,Num280Line20Vers31,195,0,0,195,0,0,195,0,0,195,0,0
28,52,Num139Line14Vers20,195,0,0,195,0,0,195,0,0,195,0,0
29,53,Num187Line15Vers31,195,0,0,195,0,0,195,0,0,195,0,0
30,54,Num144Line14Vers25,195,0,0,195,0,0,195,0,0,195,0,0
31,57,Num220Line16Vers26,195,0,0,195,0,0,195,0,0,195,0,0
32,58,Num379Line41Vers23,195,0,0,195,0,0,195,0,0,195,0,0
33,59,Num284Line20Vers35,195,0,0,195,0,0,195,0,0,195,0,0
34,61,Num23Line8Vers10,195,0,0,195,0,0,195,0,0,195,0,0
35,62,Num140Line14Vers21,195,0,0,195,0,0,195,0,0,195,0,0
36,63,Num111Line13Vers29,195,0,0,195,0,0,195,0,0,195,0,0
37,65,Num58Line11Vers12,195,0,0,195,0,0,195,0,0,195,0,0
38,67,Num1310Line144Vers9,195,0,0,195,0,0,195,0,0,195,0,0
39,68,Num78Line11Vers32,195,0,0,195,0,0,195,0,0,195,0,0
40,69,Num682Line88Vers12,195,0,0,195,0,0,195,0,0,195,0,0
41,70,Num674Line88Vers4,195,0,0,195,0,0,195,0,0,195,0,0
42,72,Num153Line14Vers34,195,0,0,195,0,0,195,0,0,195,0,0
43,73,Num1240Line139Vers25,195,0,0,195,0,0,195,0,0,195,0,0
44,76,Num226Line16Vers32,195,0,0,195,0,0,195,0,0,195,0,0
45,77,Num276Line20Vers27,195,0,0,195,0,0,195,0,0,195,0,0
46,78,Num281Line20Vers32,195,0,0,195,0,0,195,0,0,195,0,0
47,79,Num181Line15Vers25,195,0,0,195,0,0,195,0,0,195,0,0
48,81,Num145Line14Vers26,195,0,0,195,0,0,195,0,0,195,0,0
49,83,Num67Line11Vers21,195,0,0,195,0,0,195,0,0,195,0,0
50,84,Num22Line8Vers9,195,0,0,195,0,0,195,0,0,195,0,0
51,85,Num285Line20Vers36,195,0,0,195,0,0,195,0,0,195,0,0
52,86,Num272Line20Vers23,195,0,0,195,0,0,195,0,0,195,0,0
53,88,Num141Line14Vers22,195,0,0,195,0,0,195,0,0,195,0,0
