,index,mutant_ID,is_output_x_equal_true,is_output_x_equal_false,is_output_x_equal_other,is_output_y_equal_true,is_output_y_equal_false,is_output_y_equal_other,is_int_x_equal_true,is_int_x_equal_false,is_int_x_equal_other,is_int_y_equal_true,is_int_y_equal_false,is_int_y_equal_other
0,3,Num46Line10Vers7,35,160,0,13,182,0,195,0,0,195,0,0
1,7,Num324Line33Vers3,2,193,0,0,195,0,58,137,0,4,191,0
2,9,Num446Line60Vers1,2,193,0,0,195,0,62,133,0,7,188,0
3,10,Num920Line114Vers25,75,120,0,75,120,0,90,105,0,91,104,0
4,12,Num774Line101Vers50,20,175,0,20,175,0,26,169,0,27,168,0
5,15,Num1343Line149Vers2,195,0,0,0,195,0,195,0,0,195,0,0
6,18,Num1072Line118Vers4,0,195,0,0,195,0,1,194,0,0,195,0
7,19,Num1145Line122Vers27,95,100,0,95,100,0,98,97,0,99,96,0
8,25,Num1334Line146Vers20,7,0,0,7,0,0,7,0,0,0,7,0
9,28,Num461Line61Vers10,2,193,0,0,195,0,65,130,0,5,190,0
10,29,Num474Line63Vers10,5,190,0,0,195,0,146,49,0,0,195,0
11,31,Num520Line82Vers3,6,189,0,6,189,0,21,174,0,9,186,0
12,33,Num452Line61Vers1,1,194,0,0,195,0,44,151,0,0,195,0
13,35,Num1237Line139Vers22,191,4,0,191,4,0,191,4,0,191,4,0
14,37,Num407Line42Vers10,16,179,0,12,183,0,77,118,0,31,164,0
15,39,Num39Line9Vers13,145,50,0,145,50,0,145,50,0,145,50,0
16,41,Num826Line104Vers27,67,128,0,67,128,0,79,116,0,80,115,0
17,43,Num510Line72Vers12,0,195,0,0,195,0,104,91,0,1,194,0
18,47,Num524Line82Vers7,6,189,0,6,189,0,21,174,0,9,186,0
19,48,Num1329Line146Vers15,195,0,0,195,0,0,195,0,0,0,0,1
20,49,Num569Line84Vers17,0,195,0,0,195,0,2,193,0,1,194,0
21,55,Num1380Line152Vers4,195,0,0,0,195,0,195,0,0,195,0,0
22,56,Num1333Line146Vers19,195,0,0,195,0,0,195,0,0,0,0,1
23,60,Num400Line42Vers3,18,177,0,17,178,0,97,98,0,20,175,0
24,64,Num1340Line147Vers1,0,195,0,0,195,0,0,195,0,195,0,0
25,71,Num1332Line146Vers18,195,0,0,195,0,0,195,0,0,0,195,0
26,74,Num807Line104Vers8,67,128,0,67,128,0,79,116,0,80,115,0
27,75,Num1154Line122Vers36,95,100,0,95,100,0,98,97,0,99,96,0
28,80,Num1328Line146Vers14,195,0,0,195,0,0,195,0,0,0,195,0
29,87,Num820Line104Vers21,67,128,0,67,128,0,79,116,0,80,115,0
30,91,Num1335Line146Vers21,195,0,0,195,0,0,195,0,0,0,195,0
31,93,Num1354Line150Vers2,195,0,0,0,195,0,195,0,0,195,0,0
32,98,Num1378Line152Vers2,195,0,0,0,195,0,195,0,0,195,0,0
33,99,Num1342Line149Vers1,195,0,0,0,195,0,195,0,0,195,0,0
34,102,Num775Line101Vers51,25,170,0,25,170,0,29,166,0,29,166,0
35,103,Num198Line16Vers4,195,0,0,53,142,0,195,0,0,195,0,0
36,107,Num809Line104Vers10,58,137,0,58,137,0,68,127,0,69,126,0
37,109,Num410Line42Vers13,16,179,0,12,183,0,77,118,0,31,164,0
38,110,Num1233Line139Vers18,191,4,0,191,4,0,191,4,0,191,4,0
39,112,Num780Line101Vers56,16,179,0,16,179,0,27,168,0,28,167,0
40,116,Num414Line42Vers17,16,179,0,12,183,0,77,118,0,31,164,0
41,118,Num762Line101Vers38,25,170,0,25,170,0,29,166,0,29,166,0
42,122,Num1337Line146Vers23,195,0,0,195,0,0,195,0,0,8,187,0
43,123,Num406Line42Vers9,18,177,0,17,178,0,97,98,0,20,175,0
44,125,Num1357Line150Vers5,195,0,0,0,195,0,195,0,0,195,0,0
45,128,Num1369Line151Vers4,195,0,0,0,195,0,195,0,0,195,0,0
46,130,Num1353Line150Vers1,195,0,0,0,195,0,195,0,0,195,0,0
47,133,Num530Line82Vers13,82,113,0,82,113,0,110,85,0,109,86,0
48,134,Num528Line82Vers11,82,113,0,82,113,0,110,85,0,109,86,0
49,135,Num744Line101Vers20,9,186,0,9,186,0,14,181,0,14,181,0
50,139,Num463Line61Vers12,6,189,0,0,195,0,161,34,0,8,187,0
51,142,Num822Line104Vers23,67,128,0,67,128,0,79,116,0,80,115,0
52,143,Num594Line85Vers16,0,195,0,0,195,0,1,194,0,1,194,0
53,144,Num1345Line149Vers4,195,0,0,0,195,0,195,0,0,195,0,0
54,148,Num751Line101Vers27,89,106,0,89,106,0,103,92,0,103,92,0
55,149,Num857Line112Vers31,112,83,0,112,83,0,140,55,0,139,56,0
56,152,Num1323Line146Vers9,195,0,0,195,0,0,195,0,0,0,195,0
57,156,Num526Line82Vers9,82,113,0,82,113,0,110,85,0,109,86,0
58,157,Num338Line34Vers10,6,189,0,0,195,0,189,6,0,192,3,0
59,161,Num408Line42Vers11,16,179,0,12,183,0,77,118,0,31,164,0
60,164,Num529Line82Vers12,82,113,0,82,113,0,110,85,0,109,86,0
61,168,Num462Line61Vers11,3,192,0,0,195,0,139,56,0,5,190,0
62,169,Num856Line112Vers30,92,103,0,92,103,0,113,82,0,115,80,0
63,171,Num808Line104Vers9,20,175,0,20,175,0,27,168,0,27,168,0
64,174,Num824Line104Vers25,67,128,0,67,128,0,79,116,0,80,115,0
65,180,Num430Line43Vers16,15,180,0,15,180,0,15,180,0,15,180,0
66,181,Num1362Line150Vers10,195,0,0,0,195,0,195,0,0,195,0,0
67,189,Num37Line9Vers11,145,50,0,145,50,0,145,50,0,145,50,0
68,197,Num1374Line151Vers9,195,0,0,0,195,0,195,0,0,195,0,0
69,202,Num1336Line146Vers22,195,0,0,195,0,0,195,0,0,0,195,0
70,203,Num763Line101Vers39,11,184,0,11,184,0,21,174,0,22,173,0
71,206,Num669Line87Vers16,165,30,0,0,0,6,166,29,0,0,0,6
72,207,Num1341Line148Vers1,195,0,0,195,0,0,195,0,0,0,195,0
73,209,Num718Line92Vers8,194,1,0,194,1,0,195,0,0,195,0,0
74,210,Num823Line104Vers24,67,128,0,67,128,0,79,116,0,80,115,0
75,214,Num781Line101Vers57,22,173,0,22,173,0,33,162,0,34,161,0
76,217,Num1080Line118Vers12,5,190,0,5,190,0,18,177,0,18,177,0
77,218,Num1142Line122Vers24,151,44,0,151,44,0,151,44,0,151,44,0
78,219,Num818Line104Vers19,20,175,0,20,175,0,27,168,0,27,168,0
79,223,Num503Line72Vers5,6,189,0,0,195,0,113,82,0,0,195,0
80,226,Num752Line101Vers28,107,88,0,107,88,0,127,68,0,131,64,0
81,231,Num199Line16Vers5,195,0,0,53,142,0,195,0,0,195,0,0
82,232,Num784Line101Vers60,49,146,0,49,146,0,62,133,0,63,132,0
83,234,Num830Line112Vers4,38,157,0,38,157,0,39,156,0,39,156,0
