,file_name,cnt_no_v_g,cnt_v_g,otro_g,status_g,cnt_no_v_l,cnt_v_l,otro_l,status_l,cnt_no_v_e,cnt_v_e,otro_e,status_e
0,Num84Line13Vers2,10,57,128,[],23,44,128,[],1,66,128,[]
1,Num232Line16Vers38,10,57,128,[],23,44,128,[],1,66,128,[]
2,Num1230Line139Vers15,10,57,128,[],23,44,128,[],1,66,128,[]
3,Num46Line10Vers7,9,58,128,[],23,44,128,[],1,66,128,[]
4,Num117Line13Vers35,10,57,128,[],23,44,128,[],1,66,128,[]
5,Num161Line15Vers5,10,57,128,[],23,44,128,[],1,66,128,[]
6,Num336Line34Vers8,0,67,128,[],0,67,128,[],67,0,128,[]
7,Num324Line33Vers3,11,56,128,[],21,46,128,[],2,65,128,[]
8,Num192Line15Vers36,10,57,128,[],23,44,128,[],1,66,128,[]
9,Num446Line60Vers1,7,60,128,[],33,34,128,[],8,59,128,[]
10,Num920Line114Vers25,7,60,128,[],32,35,128,[],1,66,128,[]
11,Num1297Line141Vers9,10,57,128,[],23,44,128,[],1,66,128,[]
12,Num774Line101Vers50,11,56,128,[],36,31,128,[],0,67,128,[]
13,Num113Line13Vers31,10,57,128,[],23,44,128,[],1,66,128,[]
14,Num253Line20Vers4,10,57,128,[],23,44,128,[],1,66,128,[]
15,Num1343Line149Vers2,10,57,128,[],23,44,128,[],1,66,128,[]
16,Num419Line43Vers5,0,67,128,[],0,67,128,[],67,0,128,[]
17,Num1219Line139Vers4,0,67,128,[],0,67,128,[],0,67,128,[]
18,Num1072Line118Vers4,13,41,141,[],10,44,141,[],1,53,141,[]
19,Num1145Line122Vers27,10,57,128,[],50,17,128,[],0,67,128,[]
20,Num108Line13Vers26,10,57,128,[],23,44,128,[],1,66,128,[]
21,Num1309Line144Vers8,10,57,128,[],23,44,128,[],1,66,128,[]
22,Num165Line15Vers9,10,57,128,[],23,44,128,[],1,66,128,[]
23,Num105Line13Vers23,10,57,128,[],23,44,128,[],1,66,128,[]
24,Num179Line15Vers23,10,57,128,[],23,44,128,[],1,66,128,[]
25,Num292Line20Vers43,10,57,128,[],23,44,128,[],1,66,128,[]
26,Num678Line88Vers8,10,57,128,[],23,44,128,[],1,66,128,[]
27,Num461Line61Vers10,12,55,128,[],14,53,128,[],1,66,128,[]
28,Num474Line63Vers10,13,54,128,[],21,46,128,[],2,65,128,[]
29,Num1304Line144Vers3,10,57,128,[],23,44,128,[],1,66,128,[]
30,Num520Line82Vers3,3,64,128,[],32,35,128,[],2,65,128,[]
31,Num810Line104Vers11,10,57,128,[],23,44,128,[],1,66,128,[]
32,Num452Line61Vers1,7,60,128,[],28,39,128,[],7,60,128,[]
33,Num266Line20Vers17,10,57,128,[],23,44,128,[],1,66,128,[]
34,Num1237Line139Vers22,11,56,128,[],24,43,128,[],1,66,128,[]
35,Num248Line19Vers8,10,57,128,[],23,44,128,[],1,66,128,[]
36,Num407Line42Vers10,5,41,149,[],8,38,149,[],3,43,149,[]
37,Num1111Line119Vers1,9,37,149,[],14,32,149,[],1,45,149,[]
38,Num39Line9Vers13,9,58,128,[],23,44,128,[],1,66,128,[]
39,Num1293Line141Vers5,10,57,128,[],23,44,128,[],1,66,128,[]
40,Num826Line104Vers27,10,57,128,[],19,48,128,[],1,66,128,[]
41,Num262Line20Vers13,10,57,128,[],23,44,128,[],1,66,128,[]
42,Num510Line72Vers12,5,62,128,[],27,40,128,[],0,67,128,[]
43,Num216Line16Vers22,10,57,128,[],23,44,128,[],1,66,128,[]
44,Num91Line13Vers9,10,57,128,[],23,44,128,[],1,66,128,[]
45,Num202Line16Vers8,10,57,128,[],23,44,128,[],1,66,128,[]
46,Num524Line82Vers7,3,64,128,[],32,35,128,[],2,65,128,[]
47,Num1329Line146Vers15,14,53,128,[],35,32,128,[],0,67,128,[]
48,Num569Line84Vers17,9,57,129,[],21,45,129,[],0,66,129,[]
49,Num101Line13Vers19,10,57,128,[],23,44,128,[],1,66,128,[]
50,Num280Line20Vers31,10,57,128,[],23,44,128,[],1,66,128,[]
51,Num139Line14Vers20,10,57,128,[],23,44,128,[],1,66,128,[]
52,Num187Line15Vers31,10,57,128,[],23,44,128,[],1,66,128,[]
53,Num144Line14Vers25,10,57,128,[],23,44,128,[],1,66,128,[]
54,Num1380Line152Vers4,10,57,128,[],23,44,128,[],1,66,128,[]
55,Num1333Line146Vers19,14,53,128,[],35,32,128,[],0,67,128,[]
56,Num220Line16Vers26,10,57,128,[],23,44,128,[],1,66,128,[]
57,Num379Line41Vers23,10,57,128,[],23,44,128,[],1,66,128,[]
58,Num284Line20Vers35,10,57,128,[],23,44,128,[],1,66,128,[]
59,Num400Line42Vers3,9,37,149,[],10,36,149,[],0,46,149,[]
60,Num23Line8Vers10,10,57,128,[],23,44,128,[],1,66,128,[]
61,Num140Line14Vers21,10,57,128,[],23,44,128,[],1,66,128,[]
62,Num111Line13Vers29,10,57,128,[],23,44,128,[],1,66,128,[]
63,Num1340Line147Vers1,0,67,128,[],0,67,128,[],1,66,128,[]
64,Num58Line11Vers12,10,57,128,[],23,44,128,[],1,66,128,[]
65,Num1251Line140Vers9,0,67,128,[],0,67,128,[],0,67,128,[]
66,Num1310Line144Vers9,10,57,128,[],23,44,128,[],1,66,128,[]
67,Num78Line11Vers32,10,57,128,[],23,44,128,[],1,66,128,[]
68,Num682Line88Vers12,10,57,128,[],23,44,128,[],1,66,128,[]
69,Num674Line88Vers4,10,57,128,[],23,44,128,[],1,66,128,[]
70,Num1332Line146Vers18,11,56,128,[],18,49,128,[],0,67,128,[]
71,Num153Line14Vers34,10,57,128,[],23,44,128,[],1,66,128,[]
72,Num1240Line139Vers25,10,57,128,[],23,44,128,[],1,66,128,[]
73,Num807Line104Vers8,10,57,128,[],19,48,128,[],1,66,128,[]
74,Num1154Line122Vers36,10,57,128,[],50,17,128,[],0,67,128,[]
75,Num226Line16Vers32,10,57,128,[],23,44,128,[],1,66,128,[]
76,Num276Line20Vers27,10,57,128,[],23,44,128,[],1,66,128,[]
77,Num281Line20Vers32,10,57,128,[],23,44,128,[],1,66,128,[]
78,Num181Line15Vers25,10,57,128,[],23,44,128,[],1,66,128,[]
79,Num1328Line146Vers14,11,56,128,[],18,49,128,[],0,67,128,[]
80,Num145Line14Vers26,10,57,128,[],23,44,128,[],1,66,128,[]
81,Num427Line43Vers13,0,46,149,[],0,46,149,[],46,0,149,[]
82,Num67Line11Vers21,10,57,128,[],23,44,128,[],1,66,128,[]
83,Num22Line8Vers9,10,57,128,[],23,44,128,[],1,66,128,[]
84,Num285Line20Vers36,10,57,128,[],23,44,128,[],1,66,128,[]
85,Num272Line20Vers23,10,57,128,[],23,44,128,[],1,66,128,[]
86,Num820Line104Vers21,10,57,128,[],19,48,128,[],1,66,128,[]
87,Num141Line14Vers22,10,57,128,[],23,44,128,[],1,66,128,[]
88,Num157Line15Vers1,10,57,128,[],23,44,128,[],1,66,128,[]
89,Num343Line37Vers1,10,57,128,[],23,44,128,[],1,66,128,[]
90,Num1335Line146Vers21,7,60,128,[],41,26,128,[],2,65,128,[]
91,Num422Line43Vers8,9,37,149,[],14,32,149,[],1,45,149,[]
92,Num1354Line150Vers2,10,57,128,[],23,44,128,[],1,66,128,[]
93,Num717Line92Vers7,10,57,128,[],23,44,128,[],1,66,128,[]
94,Num798Line103Vers8,10,57,128,[],23,44,128,[],1,66,128,[]
95,Num10Line7Vers10,12,55,128,[],21,46,128,[],1,66,128,[]
96,Num684Line90Vers1,0,67,128,[],0,67,128,[],67,0,128,[]
97,Num1378Line152Vers2,10,57,128,[],23,44,128,[],1,66,128,[]
98,Num1342Line149Vers1,10,57,128,[],23,44,128,[],1,66,128,[]
99,Num707Line90Vers24,5,62,128,[],59,8,128,[],1,66,128,[]
100,Num1299Line143Vers1,10,57,128,[],23,44,128,[],1,66,128,[]
101,Num775Line101Vers51,2,65,128,[],50,17,128,[],0,67,128,[]
102,Num198Line16Vers4,10,57,128,[],23,44,128,[],1,66,128,[]
103,Num1311Line144Vers10,10,57,128,[],23,44,128,[],1,66,128,[]
104,Num185Line15Vers29,10,57,128,[],23,44,128,[],1,66,128,[]
105,Num146Line14Vers27,10,57,128,[],23,44,128,[],1,66,128,[]
106,Num809Line104Vers10,8,59,128,[],31,36,128,[],0,67,128,[]
107,Num1313Line144Vers12,10,57,128,[],23,44,128,[],1,66,128,[]
108,Num410Line42Vers13,5,41,149,[],8,38,149,[],3,43,149,[]
109,Num1233Line139Vers18,11,56,128,[],24,43,128,[],1,66,128,[]
110,Num275Line20Vers26,10,57,128,[],23,44,128,[],1,66,128,[]
111,Num780Line101Vers56,27,40,128,[],13,54,128,[],0,67,128,[]
112,Num439Line51Vers3,0,67,128,[],0,67,128,[],67,0,128,[]
113,Num142Line14Vers23,10,57,128,[],23,44,128,[],1,66,128,[]
114,Num464Line62Vers1,9,37,149,[],14,32,149,[],1,45,149,[]
115,Num414Line42Vers17,5,41,149,[],8,38,149,[],3,43,149,[]
116,Num64Line11Vers18,10,57,128,[],23,44,128,[],1,66,128,[]
117,Num762Line101Vers38,2,65,128,[],50,17,128,[],0,67,128,[]
118,Num286Line20Vers37,10,57,128,[],23,44,128,[],1,66,128,[]
119,Num271Line20Vers22,10,57,128,[],23,44,128,[],1,66,128,[]
120,Num435Line43Vers21,0,46,149,[],0,46,149,[],46,0,149,[]
121,Num1337Line146Vers23,4,63,128,[],39,28,128,[],0,67,128,[]
122,Num406Line42Vers9,9,37,149,[],10,36,149,[],0,46,149,[]
123,Num264Line20Vers15,10,57,128,[],23,44,128,[],1,66,128,[]
124,Num1357Line150Vers5,10,57,128,[],23,44,128,[],1,66,128,[]
125,Num194Line15Vers38,10,57,128,[],23,44,128,[],1,66,128,[]
126,Num1141Line122Vers23,0,46,149,[],0,46,149,[],46,0,149,[]
127,Num1369Line151Vers4,10,57,128,[],23,44,128,[],1,66,128,[]
128,Num1229Line139Vers14,10,57,128,[],23,44,128,[],1,66,128,[]
129,Num1353Line150Vers1,10,57,128,[],23,44,128,[],1,66,128,[]
130,Num219Line16Vers25,10,57,128,[],23,44,128,[],1,66,128,[]
131,Num214Line16Vers20,10,57,128,[],23,44,128,[],1,66,128,[]
132,Num530Line82Vers13,5,62,128,[],29,38,128,[],1,66,128,[]
133,Num528Line82Vers11,5,62,128,[],29,38,128,[],1,66,128,[]
134,Num744Line101Vers20,7,60,128,[],32,35,128,[],0,67,128,[]
135,Num126Line14Vers7,10,57,128,[],23,44,128,[],1,66,128,[]
136,Num294Line20Vers45,10,57,128,[],23,44,128,[],1,66,128,[]
137,Num1242Line139Vers27,10,57,128,[],23,44,128,[],1,66,128,[]
138,Num463Line61Vers12,10,57,128,[],20,47,128,[],1,66,128,[]
139,Num1234Line139Vers19,10,57,128,[],23,44,128,[],1,66,128,[]
140,Num476Line63Vers12,10,57,128,[],23,44,128,[],1,66,128,[]
141,Num822Line104Vers23,10,57,128,[],19,48,128,[],1,66,128,[]
142,Num594Line85Vers16,11,56,128,[],25,42,128,[],1,66,128,[]
143,Num1345Line149Vers4,10,57,128,[],23,44,128,[],1,66,128,[]
144,Num290Line20Vers41,10,57,128,[],23,44,128,[],1,66,128,[]
145,Num1301Line143Vers3,10,57,128,[],23,44,128,[],1,66,128,[]
146,Num670Line87Vers17,0,67,128,[],0,67,128,[],67,0,128,[]
147,Num751Line101Vers27,12,55,128,[],22,45,128,[],2,65,128,[]
148,Num857Line112Vers31,11,56,128,[],24,43,128,[],2,65,128,[]
149,Num48Line11Vers2,10,57,128,[],23,44,128,[],1,66,128,[]
150,Num269Line20Vers20,10,57,128,[],23,44,128,[],1,66,128,[]
151,Num1323Line146Vers9,5,62,128,[],31,36,128,[],0,67,128,[]
152,Num25Line8Vers12,10,57,128,[],23,44,128,[],1,66,128,[]
