,test_id,delta_phi,sum_err,current_min,expected_minimal_error,diff,relative_dif
12,x7ametREFiSraNdMc3Su6Sd,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[128.508942, 122.36729399999999, 116.732864, 111.55471, 106.788895, 102.397537, 98.34832, 94.613785, 91.171249, 88.002563, 84.0942688, 85.3379807, 84.0310669, 90.8780365, 88.9924316, 87.4000931, 86.1442337, 85.2936401, 84.9560242, 85.3011169, 86.6009]",84.0310669,84.0942688,0.0632018999999957,-0.07515601348566064
13,fumRDcrFqivMfX8wvHsy2i,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[35.2497, 26.5853424, 20.6161442, 16.5030365, 13.7009258, 11.846283, 10.6915779, 10.0657444, 9.84957123, 9.96006107, 10.3404293, 10.9535837, 11.7780886, 12.8058367, 14.0411119, 15.500845, 17.2162628, 19.2361279, 21.6322098, 24.5081902, 28.0139694]",9.84957123,10.3404293,0.4908580699999998,-4.746979605575948
14,gVMc9vqN7G2m9EYvFDZKVT,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[107.865875, 81.5305099, 69.4391174, 63.2479935, 59.8895302, 58.0476112, 57.0951462, 56.7110825, 56.7238197, 57.0406456, 57.6134415, 58.4212723, 59.4610977, 60.7428703, 62.287056, 64.1235886, 66.2919312, 68.8418121, 71.834671, 75.345993, 79.4680557]",56.7110825,57.6134415,0.902358999999997,-1.566229991659146
15,kcqGZAaauZU3gHx6LpaaJv,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[177.051285, 173.486313, 170.441971, 167.724655, 165.127945, 162.400696, 159.190399, 154.933807, 148.681976, 139.861267, 140.852524, 815.648071, 290.341125, 239.143372, 221.976837, 214.037125, 209.873596, 207.622498, 206.476288, 206.028214, 206.050507]",139.861267,140.852524,0.9912569999999903,-0.7037552269918786
16,o9mEQL5eKtK5c8fdjA5e5P,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[73.7809143, 69.7280426, 66.0695343, 62.7692947, 59.7980118, 57.132576, 54.7558861, 52.656765, 50.8302269, 49.2780457, 48.0095673, 48.0432434, 47.4084892, 47.1487617, 47.3256149, 48.0247345, 49.3646584, 51.5094719, 54.687973, 59.222683, 65.5755844]",47.1487617,48.0095673,0.8608055999999991,-1.7929876239480274
17,x8DL2scNsMvJaGeqBxMWU9n,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[200.488174, 189.277832, 179.327301, 170.474426, 162.584244, 155.544571, 149.262527, 143.661865, 138.681366, 134.273315, 130.40332, 138.050232, 135.207199, 132.883621, 131.108521, 129.935822, 129.452515, 129.791412, 131.150711, 133.825592, 138.258972]",129.452515,130.40332,0.9508050000000026,-0.7291263750033378
18,CFPucPcFjWGdGqdpUGTDM9,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[77.3942642, 73.956543, 70.9407959, 68.2974854, 65.9849625, 63.968500000000006, 62.2193947, 60.7144775, 59.4357147, 58.3701248, 57.5099525, 57.8531151, 57.4041061, 57.1754799, 57.1900444, 57.4844475, 58.1145554, 59.1637573, 60.7565193, 63.0801506, 66.4217377]",57.1754799,57.5099525,0.334472599999998,-0.5815908124771935
19,JFyUSoESZtgRLyCpBGPPEZ,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[30.2248936, 27.5253086, 25.060667, 22.8211136, 20.7993755, 18.9911156, 17.3952808, 16.0147591, 14.8572378, 13.9365177, 13.2742929, 12.9028149, 12.8686886, 13.2385082, 14.1072941, 15.6114111, 17.9488144, 21.4114399, 26.4392891, 33.7130165, 44.3201332]",12.8686886,13.2742929,0.40560430000000025,-3.055562379522304
20,x748vyTMHhyrecXxanBWjAq,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[23.7384338, 23.2971439, 22.9327106, 22.6485443, 22.4486198, 22.3375854, 22.3208618, 22.4048576, 22.5971241, 22.9066601, 22.3442631, 23.9230289, 24.6590157, 25.5721512, 26.6875668, 28.0374107, 29.6636, 31.6218739, 33.9879341, 36.8672791, 40.4108124]",22.3208618,22.3442631,0.023401299999999736,-0.10473068588240772
21,x6q86zD4g8aZbVVqZcdmEDZ,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[40.9298401, 38.9156036, 37.3553123, 36.1646576, 35.2773094, 34.6406708, 34.2127075, 33.9595718, 33.8538895, 33.8733292, 33.999649, 34.2178459, 34.5155411, 34.8825, 35.3102341, 35.7917099, 36.3210754, 36.8934784, 37.5049133, 38.1520576, 38.8322144]",33.8538895,33.999649,0.14575949999999693,-0.42870883755299044
