,file_name,cnt_nv,cnt_v,cnt_otro,status
142,Num1345Line149Vers4,2,193,0,[]
143,Num290Line20Vers41,115,80,0,[]
144,Num1301Line143Vers3,115,80,0,[]
145,Num670Line87Vers17,0,6,0,[]
146,Num751Line101Vers27,110,82,0,[]
147,Num857Line112Vers31,119,75,0,[]
148,Num48Line11Vers2,115,80,0,[]
149,Num269Line20Vers20,115,80,0,[]
150,Num1323Line146Vers9,44,151,0,[]
151,Num25Line8Vers12,115,80,0,[]
152,Num1130Line122Vers12,115,80,0,[]
153,Num251Line20Vers2,115,80,0,[]
154,Num526Line82Vers9,117,78,0,[]
155,Num338Line34Vers10,115,80,0,[]
156,Num367Line41Vers11,115,80,0,[]
157,Num86Line13Vers4,115,80,0,[]
158,Num13Line7Vers13,115,80,0,[]
159,Num408Line42Vers11,28,167,0,[]
160,Num350Line37Vers8,115,80,0,[]
161,Num1200Line137Vers9,0,45,0,[]
162,Num529Line82Vers12,117,78,0,[]
163,Num295Line20Vers46,115,80,0,[]
164,Num1228Line139Vers13,0,45,0,[]
165,Num189Line15Vers33,115,80,0,[]
166,Num462Line61Vers11,47,148,0,[]
167,Num856Line112Vers30,126,69,0,[]
168,Num291Line20Vers42,115,80,0,[]
169,Num808Line104Vers9,102,93,0,[]
170,Num895Line113Vers1,115,80,0,[]
171,Num70Line11Vers24,115,80,0,[]
172,Num824Line104Vers25,111,84,0,[]
173,Num1167Line134Vers1,115,80,0,[]
174,Num1235Line139Vers20,115,80,0,[]
175,Num231Line16Vers37,115,80,0,[]
176,Num340Line34Vers12,115,80,0,[]
177,Num1188Line136Vers10,0,45,0,[]
178,Num430Line43Vers16,1,20,0,[]
179,Num1362Line150Vers10,0,195,0,[]
180,Num428Line43Vers14,115,80,0,[]
181,Num102Line13Vers20,115,80,0,[]
182,Num425Line43Vers11,0,6,0,[]
183,Num224Line16Vers30,115,80,0,[]
184,Num229Line16Vers35,115,80,0,[]
185,Num183Line15Vers27,115,80,0,[]
186,Num274Line20Vers25,115,80,0,[]
187,Num37Line9Vers11,116,79,0,[]
188,Num1246Line140Vers4,0,45,0,[]
189,Num106Line13Vers24,115,80,0,[]
190,Num1139Line122Vers21,0,6,0,[]
191,Num24Line8Vers11,0,6,0,[]
192,Num250Line20Vers1,115,80,0,[]
193,Num223Line16Vers29,115,80,0,[]
194,Num177Line15Vers21,115,80,0,[]
195,Num1374Line151Vers9,48,147,0,[]
196,Num327Line33Vers6,0,6,0,[]
197,Num204Line16Vers10,115,80,0,[]
198,Num270Line20Vers21,115,80,0,[]
