,file_name,cnt_no_v_scaled,cnt_v_scaled,otro_scaled,status_scaled,cnt_no_v_g,cnt_v_g,otro_g,status_g,cnt_no_v_l,cnt_v_l,otro_l,status_l,cnt_no_v_e,cnt_v_e,otro_e,status_e
66,Num1310Line144Vers9,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
67,Num78Line11Vers32,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
68,Num682Line88Vers12,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
69,Num674Line88Vers4,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
70,Num1332Line146Vers18,1,194,0,[],73,122,0,[],0,195,0,[],0,195,0,[]
71,Num153Line14Vers34,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
72,Num1240Line139Vers25,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
73,Num807Line104Vers8,195,0,0,[],195,0,0,[],0,195,0,[],0,195,0,[]
74,Num1154Line122Vers36,193,2,0,[],178,17,0,[],0,195,0,[],15,180,0,[]
75,Num226Line16Vers32,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
76,Num276Line20Vers27,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
77,Num281Line20Vers32,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
78,Num181Line15Vers25,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
79,Num1328Line146Vers14,1,194,0,[],73,122,0,[],0,195,0,[],0,195,0,[]
80,Num145Line14Vers26,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
81,Num427Line43Vers13,195,0,0,[],0,195,0,[],0,195,0,[],195,0,0,[]
82,Num67Line11Vers21,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
83,Num22Line8Vers9,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
84,Num285Line20Vers36,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
85,Num272Line20Vers23,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
86,Num820Line104Vers21,195,0,0,[],195,0,0,[],0,195,0,[],0,195,0,[]
87,Num141Line14Vers22,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
88,Num157Line15Vers1,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
89,Num343Line37Vers1,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
90,Num1335Line146Vers21,0,195,0,[],181,14,0,[],0,195,0,[],0,195,0,[]
91,Num422Line43Vers8,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
92,Num1354Line150Vers2,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
93,Num717Line92Vers7,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
94,Num798Line103Vers8,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
95,Num10Line7Vers10,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
96,Num684Line90Vers1,195,0,0,[],0,195,0,[],0,195,0,[],195,0,0,[]
97,Num1378Line152Vers2,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
98,Num1342Line149Vers1,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
99,Num707Line90Vers24,0,195,0,[],17,178,0,[],9,186,0,[],0,195,0,[]
100,Num1299Line143Vers1,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
101,Num775Line101Vers51,104,91,0,[],190,5,0,[],0,195,0,[],0,195,0,[]
102,Num198Line16Vers4,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
103,Num1311Line144Vers10,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
104,Num185Line15Vers29,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
105,Num146Line14Vers27,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
106,Num809Line104Vers10,192,3,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
107,Num1313Line144Vers12,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
108,Num410Line42Vers13,193,2,0,[],195,0,0,[],0,195,0,[],0,195,0,[]
109,Num1233Line139Vers18,193,2,0,[],190,5,0,[],0,195,0,[],0,195,0,[]
110,Num275Line20Vers26,193,2,0,[],194,1,0,[],0,195,0,[],0,195,0,[]
111,Num780Line101Vers56,100,95,0,[],187,8,0,[],0,195,0,[],0,195,0,[]
