,mutant_id,HMR1_v,HMR1_nv,HMR1_cr,HMR2_v,HMR2_nv,HMR2_cr,HMR3_v,HMR3_nv,HMR3_cr,mutant_status
84,Num285Line20Vers36,0,115,0,0,115,0,0,115,0,eqv/surv
85,Num272Line20Vers23,0,115,0,0,115,0,0,115,0,eqv/surv
86,Num820Line104Vers21,0,115,0,0,115,0,17,98,0,killed
87,Num141Line14Vers22,0,115,0,0,115,0,0,115,0,eqv/surv
88,Num157Line15Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
89,Num343Line37Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
90,Num1335Line146Vers21,115,0,0,0,115,0,75,40,0,killed
91,Num422Line43Vers8,0,115,0,0,115,0,0,115,0,eqv/surv
92,Num1354Line150Vers2,0,115,0,0,115,0,110,5,0,killed
93,Num717Line92Vers7,0,115,0,0,115,0,0,115,0,eqv/surv
94,Num798Line103Vers8,0,115,0,0,115,0,0,115,0,eqv/surv
95,Num10Line7Vers10,0,115,0,0,115,0,0,115,0,eqv/surv
96,Num684Line90Vers1,115,0,0,115,0,0,2,0,0,killed
97,Num1378Line152Vers2,0,115,0,0,115,0,112,3,0,killed
98,Num1342Line149Vers1,0,115,0,0,115,0,113,2,0,killed
99,Num707Line90Vers24,115,0,0,0,115,0,113,2,0,killed
100,Num1299Line143Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
101,Num775Line101Vers51,79,36,0,0,115,0,33,82,0,killed
102,Num198Line16Vers4,0,115,0,0,115,0,0,115,0,killed
103,Num1311Line144Vers10,0,115,0,0,115,0,0,115,0,eqv/surv
104,Num185Line15Vers29,0,115,0,0,115,0,0,115,0,eqv/surv
105,Num146Line14Vers27,0,115,0,0,115,0,0,115,0,eqv/surv
106,Num809Line104Vers10,2,113,0,0,115,0,25,90,0,killed
107,Num1313Line144Vers12,0,115,0,0,115,0,0,115,0,eqv/surv
108,Num410Line42Vers13,84,31,0,0,115,0,92,23,0,killed
109,Num1233Line139Vers18,4,111,0,0,115,0,4,111,0,killed
110,Num275Line20Vers26,0,115,0,0,115,0,0,115,0,eqv/surv
111,Num780Line101Vers56,95,20,0,0,115,0,29,84,0,killed
112,Num439Line51Vers3,115,0,0,115,0,0,2,0,0,killed
113,Num142Line14Vers23,0,115,0,0,115,0,0,115,0,eqv/surv
114,Num464Line62Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
115,Num414Line42Vers17,84,31,0,0,115,0,92,23,0,killed
116,Num64Line11Vers18,0,115,0,0,115,0,0,115,0,eqv/surv
117,Num762Line101Vers38,79,36,0,0,115,0,33,82,0,killed
118,Num286Line20Vers37,0,115,0,0,115,0,0,115,0,eqv/surv
119,Num271Line20Vers22,0,115,0,0,115,0,0,115,0,eqv/surv
120,Num435Line43Vers21,115,0,0,115,0,0,2,0,0,killed
121,Num1337Line146Vers23,115,0,0,0,115,0,85,30,0,killed
122,Num406Line42Vers9,112,3,0,0,115,0,62,53,0,killed
123,Num264Line20Vers15,0,115,0,0,115,0,0,115,0,eqv/surv
124,Num1357Line150Vers5,0,115,0,0,115,0,110,5,0,killed
125,Num194Line15Vers38,0,115,0,0,115,0,0,115,0,eqv/surv
