,mutant_id,HMR1_v,HMR1_nv,HMR1_cr,HMR2_v,HMR2_nv,HMR2_cr,HMR3_v,HMR3_nv,HMR3_cr,mutant_status
0,Num84Line13Vers2,0,80,0,80,0,0,80,0,0,killed
1,Num232Line16Vers38,0,80,0,80,0,0,80,0,0,killed
2,Num1230Line139Vers15,0,80,0,80,0,0,80,0,0,killed
3,Num46Line10Vers7,0,80,0,80,0,0,77,3,0,killed
4,Num117Line13Vers35,0,80,0,80,0,0,80,0,0,killed
5,Num161Line15Vers5,0,80,0,80,0,0,80,0,0,killed
6,Num336Line34Vers8,80,0,0,0,80,0,4,0,0,killed
7,Num324Line33Vers3,53,26,0,78,2,0,73,7,0,killed
8,Num192Line15Vers36,0,80,0,80,0,0,80,0,0,killed
9,Num446Line60Vers1,48,32,0,78,2,0,67,13,0,killed
10,Num920Line114Vers25,1,79,0,79,0,0,58,22,0,killed
11,Num1297Line141Vers9,0,80,0,80,0,0,80,0,0,killed
12,Num774Line101Vers50,45,35,0,80,0,0,44,36,0,killed
13,Num113Line13Vers31,0,80,0,80,0,0,80,0,0,killed
14,Num253Line20Vers4,0,80,0,80,0,0,80,0,0,killed
15,Num1343Line149Vers2,0,80,0,80,0,0,80,0,0,killed
16,Num419Line43Vers5,80,0,0,0,80,0,4,0,0,killed
17,Num1219Line139Vers4,80,0,0,80,0,0,25,0,0,killed
18,Num1072Line118Vers4,79,0,0,79,0,0,1,0,0,killed
19,Num1145Line122Vers27,14,66,0,66,14,0,42,24,0,killed
20,Num108Line13Vers26,0,80,0,80,0,0,80,0,0,killed
21,Num1309Line144Vers8,0,80,0,80,0,0,80,0,0,killed
22,Num165Line15Vers9,0,80,0,80,0,0,80,0,0,killed
23,Num105Line13Vers23,0,80,0,80,0,0,80,0,0,killed
24,Num179Line15Vers23,0,80,0,80,0,0,80,0,0,killed
25,Num292Line20Vers43,0,80,0,80,0,0,80,0,0,killed
26,Num678Line88Vers8,0,80,0,80,0,0,80,0,0,killed
27,Num461Line61Vers10,77,3,0,79,0,0,75,5,0,killed
28,Num474Line63Vers10,3,77,0,77,3,0,65,15,0,killed
29,Num1304Line144Vers3,0,80,0,80,0,0,80,0,0,killed
30,Num520Line82Vers3,0,80,0,80,0,0,65,15,0,killed
31,Num810Line104Vers11,0,80,0,80,0,0,80,0,0,killed
32,Num452Line61Vers1,49,31,0,80,0,0,75,5,0,killed
33,Num266Line20Vers17,0,80,0,80,0,0,80,0,0,killed
34,Num1237Line139Vers22,0,80,0,80,0,0,80,0,0,killed
35,Num248Line19Vers8,0,80,0,80,0,0,80,0,0,killed
36,Num407Line42Vers10,58,22,0,80,0,0,75,5,0,killed
37,Num1111Line119Vers1,0,80,0,80,0,0,80,0,0,killed
38,Num39Line9Vers13,0,80,0,80,0,0,79,1,0,killed
39,Num1293Line141Vers5,0,80,0,80,0,0,80,0,0,killed
40,Num826Line104Vers27,0,80,0,80,0,0,67,13,0,killed
41,Num262Line20Vers13,0,80,0,80,0,0,80,0,0,killed
42,Num510Line72Vers12,79,0,0,80,0,0,75,5,0,killed
43,Num216Line16Vers22,0,80,0,80,0,0,80,0,0,killed
44,Num91Line13Vers9,0,80,0,80,0,0,80,0,0,killed
45,Num202Line16Vers8,0,80,0,80,0,0,80,0,0,killed
46,Num524Line82Vers7,0,80,0,80,0,0,65,15,0,killed
47,Num1329Line146Vers15,79,0,0,78,0,0,64,15,0,killed
48,Num569Line84Vers17,77,0,0,80,0,0,63,12,0,killed
49,Num101Line13Vers19,0,80,0,80,0,0,80,0,0,killed
50,Num280Line20Vers31,0,80,0,80,0,0,80,0,0,killed
51,Num139Line14Vers20,0,80,0,80,0,0,80,0,0,killed
52,Num187Line15Vers31,0,80,0,80,0,0,80,0,0,killed
53,Num144Line14Vers25,0,80,0,80,0,0,80,0,0,killed
54,Num1380Line152Vers4,0,80,0,80,0,0,77,3,0,killed
55,Num1333Line146Vers19,79,0,0,78,0,0,64,15,0,killed
56,Num220Line16Vers26,0,80,0,80,0,0,80,0,0,killed
57,Num379Line41Vers23,0,80,0,80,0,0,80,0,0,killed
58,Num284Line20Vers35,0,80,0,80,0,0,80,0,0,killed
59,Num400Line42Vers3,78,2,0,79,1,0,69,11,0,killed
60,Num23Line8Vers10,0,80,0,80,0,0,80,0,0,killed
61,Num140Line14Vers21,0,80,0,80,0,0,80,0,0,killed
62,Num111Line13Vers29,0,80,0,80,0,0,80,0,0,killed
63,Num1340Line147Vers1,80,0,0,80,0,0,80,0,0,killed
64,Num58Line11Vers12,0,80,0,80,0,0,80,0,0,killed
65,Num1251Line140Vers9,80,0,0,80,0,0,25,0,0,killed
66,Num1310Line144Vers9,0,80,0,80,0,0,80,0,0,killed
67,Num78Line11Vers32,0,80,0,80,0,0,80,0,0,killed
68,Num682Line88Vers12,0,80,0,80,0,0,80,0,0,killed
69,Num674Line88Vers4,0,80,0,80,0,0,80,0,0,killed
70,Num1332Line146Vers18,80,0,0,80,0,0,52,28,0,killed
71,Num153Line14Vers34,0,80,0,80,0,0,80,0,0,killed
72,Num1240Line139Vers25,0,80,0,80,0,0,80,0,0,killed
73,Num807Line104Vers8,0,80,0,80,0,0,67,13,0,killed
74,Num1154Line122Vers36,14,66,0,66,14,0,42,24,0,killed
75,Num226Line16Vers32,0,80,0,80,0,0,80,0,0,killed
76,Num276Line20Vers27,0,80,0,80,0,0,80,0,0,killed
77,Num281Line20Vers32,0,80,0,80,0,0,80,0,0,killed
78,Num181Line15Vers25,0,80,0,80,0,0,80,0,0,killed
79,Num1328Line146Vers14,80,0,0,80,0,0,52,28,0,killed
80,Num145Line14Vers26,0,80,0,80,0,0,80,0,0,killed
81,Num427Line43Vers13,80,0,0,0,80,0,4,0,0,killed
82,Num67Line11Vers21,0,80,0,80,0,0,80,0,0,killed
83,Num22Line8Vers9,0,80,0,80,0,0,80,0,0,killed
84,Num285Line20Vers36,0,80,0,80,0,0,80,0,0,killed
85,Num272Line20Vers23,0,80,0,80,0,0,80,0,0,killed
86,Num820Line104Vers21,0,80,0,80,0,0,67,13,0,killed
87,Num141Line14Vers22,0,80,0,80,0,0,80,0,0,killed
88,Num157Line15Vers1,0,80,0,80,0,0,80,0,0,killed
89,Num343Line37Vers1,0,80,0,80,0,0,80,0,0,killed
90,Num1335Line146Vers21,80,0,0,80,0,0,62,18,0,killed
91,Num422Line43Vers8,0,80,0,80,0,0,80,0,0,killed
92,Num1354Line150Vers2,0,80,0,80,0,0,79,1,0,killed
93,Num717Line92Vers7,0,80,0,80,0,0,80,0,0,killed
94,Num798Line103Vers8,0,80,0,80,0,0,80,0,0,killed
95,Num10Line7Vers10,0,80,0,80,0,0,80,0,0,killed
96,Num684Line90Vers1,80,0,0,0,80,0,4,0,0,killed
97,Num1378Line152Vers2,0,80,0,80,0,0,80,0,0,killed
98,Num1342Line149Vers1,0,80,0,80,0,0,80,0,0,killed
99,Num707Line90Vers24,80,0,0,80,0,0,80,0,0,killed
100,Num1299Line143Vers1,0,80,0,80,0,0,80,0,0,killed
101,Num775Line101Vers51,55,25,0,80,0,0,44,36,0,killed
102,Num198Line16Vers4,0,80,0,80,0,0,80,0,0,killed
103,Num1311Line144Vers10,0,80,0,80,0,0,80,0,0,killed
104,Num185Line15Vers29,0,80,0,80,0,0,80,0,0,killed
105,Num146Line14Vers27,0,80,0,80,0,0,80,0,0,killed
106,Num809Line104Vers10,0,80,0,80,0,0,55,25,0,killed
107,Num1313Line144Vers12,0,80,0,80,0,0,80,0,0,killed
108,Num410Line42Vers13,58,22,0,80,0,0,75,5,0,killed
109,Num1233Line139Vers18,0,80,0,80,0,0,80,0,0,killed
110,Num275Line20Vers26,0,80,0,80,0,0,80,0,0,killed
111,Num780Line101Vers56,64,16,0,80,0,0,46,34,0,killed
112,Num439Line51Vers3,80,0,0,0,80,0,4,0,0,killed
113,Num142Line14Vers23,0,80,0,80,0,0,80,0,0,killed
114,Num464Line62Vers1,0,80,0,80,0,0,80,0,0,killed
115,Num414Line42Vers17,58,22,0,80,0,0,75,5,0,killed
116,Num64Line11Vers18,0,80,0,80,0,0,80,0,0,killed
117,Num762Line101Vers38,55,25,0,80,0,0,44,36,0,killed
118,Num286Line20Vers37,0,80,0,80,0,0,80,0,0,killed
119,Num271Line20Vers22,0,80,0,80,0,0,80,0,0,killed
120,Num435Line43Vers21,80,0,0,0,80,0,4,0,0,killed
121,Num1337Line146Vers23,80,0,0,80,0,0,73,7,0,killed
122,Num406Line42Vers9,78,2,0,79,1,0,69,11,0,killed
123,Num264Line20Vers15,0,80,0,80,0,0,80,0,0,killed
124,Num1357Line150Vers5,0,80,0,80,0,0,79,1,0,killed
125,Num194Line15Vers38,0,80,0,80,0,0,80,0,0,killed
126,Num1141Line122Vers23,80,0,0,0,80,0,4,0,0,killed
127,Num1369Line151Vers4,0,80,0,80,0,0,74,6,0,killed
128,Num1229Line139Vers14,0,80,0,80,0,0,80,0,0,killed
129,Num1353Line150Vers1,0,80,0,80,0,0,79,1,0,killed
130,Num219Line16Vers25,0,80,0,80,0,0,80,0,0,killed
131,Num214Line16Vers20,0,80,0,80,0,0,80,0,0,killed
132,Num530Line82Vers13,0,80,0,80,0,0,67,13,0,killed
133,Num528Line82Vers11,0,80,0,80,0,0,67,13,0,killed
134,Num744Line101Vers20,45,30,0,80,0,0,48,32,0,killed
135,Num126Line14Vers7,0,80,0,80,0,0,80,0,0,killed
136,Num294Line20Vers45,0,80,0,80,0,0,80,0,0,killed
137,Num1242Line139Vers27,0,80,0,80,0,0,80,0,0,killed
138,Num463Line61Vers12,77,3,0,80,0,0,74,6,0,killed
139,Num1234Line139Vers19,0,80,0,80,0,0,80,0,0,killed
