,name_id,folder_path,mutant_num,mutated_line,mutant_vers,mutant_code_from_mutated_line,did_it_crash,num_not_crashes,last_data_modification_date,last_data_modification_time,last_status_change_date,last_status_change_time,last_access_date,last_access_time,last_inode_date,last_inode_time,duration
0,Num234Line17Vers2,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num234Line17Vers2,234,17,2,"    idMat = zeros(iMaxArrayLengthAlloc,iMaxArrayLengthAlloc,'uint0'); % constant replaced: 32 -> 0
",True,0,2024-02-17,2024-02-19 14:38:27,2024-02-14,2024-02-19 21:51:50,2024-02-14,2024-02-19 21:51:50,2024-02-14,2024-02-19 20:41:48,0 days 07:13:23
1,Num84Line13Vers2,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num84Line13Vers2,84,13,2,"    a0Mat = zeros(1,(iMaxArrayLengthAlloc - uint32(3))*ivar,'single'); % constant replaced: 1 -> 0
",False,195,2024-02-17,2024-02-19 14:38:40,2024-02-14,2024-02-19 21:55:24,2024-02-14,2024-02-19 21:55:24,2024-02-14,2024-02-19 20:42:05,0 days 07:16:44
2,Num313Line25Vers4,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num313Line25Vers4,313,25,4,"for ii = 2:uint32(iMaxArrayLengthAlloc) % constant replaced: 1 -> 2
",False,194,2024-02-17,2024-02-19 14:38:29,2024-02-14,2024-02-19 21:59:22,2024-02-14,2024-02-19 21:59:22,2024-02-14,2024-02-19 20:42:19,0 days 07:20:53
3,Num736Line101Vers12,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num736Line101Vers12,736,101,12,"            R1 = R1 + (ydatsortLoc(kk)-(xhatact(0)+xhatact(1).*xdatsortLoc(kk))).^2; % constant replaced: 2 -> 0
",True,0,2024-02-17,2024-02-19 14:38:37,2024-02-14,2024-02-19 21:59:41,2024-02-14,2024-02-19 21:59:41,2024-02-14,2024-02-19 20:42:33,0 days 07:21:04
4,Num433Line43Vers19,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num433Line43Vers19,433,43,19,"for ii = 2:(iNumOfCalcTemp .* 2) % operator replaced: '-' -> '.*'
",False,90,2024-02-17,2024-02-19 14:38:32,2024-02-14,2024-02-19 22:01:18,2024-02-14,2024-02-19 22:01:18,2024-02-14,2024-02-19 20:42:46,0 days 07:22:46
5,Num955Line115Vers10,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num955Line115Vers10,955,115,10,"        b1Mat((ii-3)*ivar + jj) = xhatact(1); % constant replaced: 2 -> 3
",False,158,2024-02-17,2024-02-19 14:38:43,2024-02-14,2024-02-19 22:03:59,2024-02-14,2024-02-19 22:03:59,2024-02-14,2024-02-19 20:43:00,0 days 07:25:16
6,Num988Line116Vers3,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num988Line116Vers3,988,116,3,"        a-1Mat((ii-2)*ivar + jj) = xhatact(2); % constant replaced: 1 -> -1
",True,0,2024-02-17,2024-02-19 14:38:43,2024-02-14,2024-02-19 22:04:14,2024-02-14,2024-02-19 22:04:14,2024-02-14,2024-02-19 20:43:14,0 days 07:25:31
7,Num1039Line117Vers13,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1039Line117Vers13,1039,117,13,"        b2Mat((ii-2.2)*ivar + jj) = xhatact(3); % constant replaced: 2 -> 2.2
",False,163,2024-02-17,2024-02-19 14:38:18,2024-02-14,2024-02-19 22:07:01,2024-02-14,2024-02-19 22:07:01,2024-02-14,2024-02-19 20:43:29,0 days 07:28:43
8,Num608Line85Vers30,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num608Line85Vers30,608,85,30,"        MatA(iNumOfCalcTemp + 1,3) = double(-1/xinttemp(jj)); % operator replaced: '*' -> '/'
",False,187,2024-02-17,2024-02-19 14:38:35,2024-02-14,2024-02-19 22:10:26,2024-02-14,2024-02-19 22:10:26,2024-02-14,2024-02-19 20:43:42,0 days 07:31:51
9,Num584Line85Vers6,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num584Line85Vers6,584,85,6,"        MatA(iNumOfCalcTemp + 1.1,3) = double(-1*xinttemp(jj)); % constant replaced: 1 -> 1.1
",True,0,2024-02-17,2024-02-19 14:38:35,2024-02-14,2024-02-19 22:10:42,2024-02-14,2024-02-19 22:10:42,2024-02-14,2024-02-19 20:43:56,0 days 07:32:07
